gene_name	length
PST_0509	693
dapF	831
lysA	1248
lppL	189
cyaY	333
rnk	405
PST_0515	243
cyaA	2817
PST_0517	246
PST_0518	441
PST_0519	528
PST_0520	1149
argH	1395
PST_0522	954
algR	795
hemC	945
hemD	771
hemY	1221
dsbH	492
algQ	462
algP	858
PST_0532	1911
PST_0533	582
PST_0534	759
PST_0535	633
PST_0536	456
PST_0537	2133
PST_0538	543
elbB	666
hemB	1014
ppk	2217
ppx	1503
rho	1260
PST_0544	1467
PST_0545	1077
PST_0546	666
argS	1740
priA	2397
maeB	1269
ponA	2235
PST_0552	1038
pilM	795
pilN	573
pilO	624
pilP	528
pilQ	2139
aroK	468
aroB	1104
PST_0560	1572
gltB	4449
gltD	1470
hemE	1104
PST_0565	1458
PST_0564	900
PST_0566	291
trxC	438
metY	1278
PST_0569	1797
PST_0570	1464
PST_0571	657
PST_0572	678
PST_0573	1431
PST_0574	990
PST_0575	315
PST_0576	444
PST_0577	438
PST_0578	1008
PST_0579	324
PST_0580	1515
PST_0581	756
PST_0582	2439
PST_0583	2496
PST_0584	1035
PST_0585	1362
PST_0586	1935
PST_0587	2049
PST_0588	468
PST_0589	924
PST_0590	291
PST_0591	1524
PST_0592	957
PST_0593	945
PST_0594	492
PST_0595	897
PST_0596	558
PST_0597	243
PST_0598	804
PST_0599	1473
PST_0600	390
PST_0601	1272
PST_0602	2454
PST_0603	243
fadD	1410
PST_0605	777
PST_0606	1158
PST_0607	1212
PST_0608	786
PST_0609	1443
PST_0610	555
PST_0611	1134
PST_0612	1614
PST_0613	1041
PST_0614	1986
PST_0615	1752
PST_0616	1365
PST_0617	1077
PST_0618	2481
PST_0619	381
PST_0620	663
PST_0621	483
PST_0622	564
PST_0623	1791
PST_0624	270
PST_0625	1197
PST_0626	2466
PST_0627	759
PST_0628	771
PST_0629	1830
PST_0630	621
PST_0631	705
PST_0632	1419
PST_0633	1548
PST_0634	861
hsdR	3474
PST_0636	345
PST_0637	1539
PST_0638	648
PST_0639	3198
PST_0640	1542
PST_0641	819
PST_0642	1473
PST_0643	804
PST_0644	1539
PST_0645	345
PST_0646	474
PST_0647	1977
PST_0648	1539
PST_0649	345
PST_0650	1017
PST_0651	603
PST_0652	228
PST_0653	312
PST_0654	1659
PST_0655	651
PST_0656	735
PST_0657	525
PST_0658	1506
PST_0659	420
PST_0660	831
PST_0661	2406
PST_0662	606
cadR	453
cadA-2	2283
PST_0665	363
PST_0666	471
PST_0667	561
PST_0668	1431
PST_0669	513
PST_0670	393
PST_0671	1425
PST_0672	279
PST_0673	1074
arcC-1	873
arcB-1	1011
arcA-1	1251
arcD-1	1428
PST_0678	216
PST_0679	1452
PST_0680	1116
PST_0681	2772
PST_0682	1224
phaC	1701
phaA	1179
phaB	756
phbR	1023
gltS	1167
PST_0688	780
tdcD	1209
PST_0691	2550
phaP	567
phaR	681
PST_0694	1959
PST_0695	1035
PST_0696	165
PST_0697	300
PST_0698	651
PST_0699	1185
PST_0700	1038
PST_0701	156
PST_0702	249
PST_0703	969
PST_0704	138
PST_0705	345
PST_0706	690
PST_0707	459
PST_0708	273
PST_0709	456
PST_0710	135
PST_0711	77
rpoD	1710
dnaG	1953
rpsU	216
gcp	1140
PST_0716	579
folB-1	354
folK-1	543
cca	1398
PST_0721	1272
prkA	1794
glpE	330
apaH	828
apaG	384
ksgA	795
pdxA	990
surA	1356
ostA	2823
PST_0730	1020
PST_0731	672
djlA	768
PST_0733	1011
PST_0734	2286
uhpA	630
PST_0736	1110
PST_0737	1032
PST_0738	1254
PST_0739	828
gabD-1	1467
gabT	1257
rpe	612
gph	702
trpE	1605
trpG	594
trpD	1047
trpC	837
PST_0748	669
PST_0749	603
PST_0750	648
PST_0751	1851
PST_0752	912
PST_0754	489
argC	1035
PST_0755	351
anmK	1071
PST_0757	1407
tyrS	1200
PST_0759	1549
PST_0760	77
PST_0761	76
PST_0762	2901
PST_0762a	120
birA	948
PST_0765	672
PST_0766	85
PST_0767	74
PST_0768	76
tuf	1194
PST_0770	76
secE	369
nusG	534
rplK	432
rplA	696
rplJ	501
rplL	369
rpoB	4071
rpoC	4200
rpsL	372
rpsG	471
fusA1	2121
tuf-1	1194
rpsJ	312
rplC	636
rplD	603
rplW	300
rplB	822
rpsS	276
rplV	333
rpsC	687
rplP	414
rpmC	192
rpsQ	267
rplN	369
rplX	315
rplE	540
rpsN	306
rpsH	393
rplF	534
rplR	297
rpsE	501
rpmD	180
rplO	435
secY	1329
rpmJ	117
rpsM	357
rpsK	390
rpsD	621
rpoA	1002
rplQ	390
katA	1458
uvrA	2958
PST_0813	1368
ssb	480
PST_0815	639
PST_0816	930
oprG	678
PST_0818	786
PST_0819	1347
exbB2	546
exbD2	408
PST_0823	1092
PST_0824	525
PST_0825	1266
PST_0826	708
PST_0827	615
PST_0828	387
trx-1	870
PST_0830	1227
PST_0831	150
ligT	522
PST_0833	1230
PST_0834	396
ribD	1080
ribE-1	663
ribBA-1	1080
ribH	477
nusB	486
thiL	963
PST_0841	498
PST_0842	648
ribA	729
PST_0845	801
PST_0846	1866
sbcC	3654
sbcD	1407
PST_0849	873
PST_0850	1317
PST_0851	666
PST_0852	306
PST_0854	525
PST_0853	375
PST_0855	780
PST_0856	336
PST_0857	885
PST_0858	894
PST_0859	897
PST_0860	1641
PST_0861	771
PST_0862	1392
PST_0863	1341
PST_0864	417
PST_0865	513
PST_0866	3471
ldh	963
PST_0868	1410
hpd	1086
PST_0870	1140
PST_0871	984
PST_0872	660
PST_0873	1461
pctA	1878
PST_0875	684
PST_0876	867
PST_0877	1674
PST_0878	1119
PST_0879	588
PST_0880	840
PST_0881	1284
PST_0882	921
PST_0883	555
tesB	909
PST_0885	555
PST_0886	858
PST_0887	612
PST_0888	540
dnrE	690
PST_0890	786
narL	609
narX	1977
narK	1602
PST_0894	459
narM	1488
narG	3759
narH	1539
narJ	756
narI	792
PST_0900	1035
moaA	990
moaB2	546
moeA1	1233
PST_0904	552
PST_0905	1473
PST_0906	705
PST_0907	651
PST_0908	831
PST_0909	672
PST_0910	1464
PST_0911	690
PST_0912	1239
colR	684
colS	1269
PST_0915	678
PST_0916	720
PST_0917	408
PST_0918	2154
trmA	1089
PST_0920	1296
PST_0921	564
PST_0922	975
PST_0923	645
PST_0924	513
PST_0925	987
PST_0926	2202
PST_0927	1239
PST_0928	1080
PST_0929	1056
PST_0930	405
PST_0931	378
PST_0932	1128
PST_0933	777
gdhA	1254
PST_0935	786
PST_0936	378
PST_0937	543
PST_0938	1992
PST_0939	1770
glyA	1254
PST_0941	462
PST_0942	369
radA	1362
PST_0944	435
PST_0945	270
mscL	423
ccpR	993
PST_0948	2280
PST_0949	435
PST_0950	489
PST_0951	306
PST_0952	1536
fklB-1	618
PST_0954	228
ispB	969
rplU	462
rpmA	258
obgE	1218
proB	1119
creA	465
rpsT	279
PST_0962	1548
ribF	951
ileS	2832
lspA	504
fkpB	438
ispH	759
pilE	408
pilY2	330
pilY1	3393
pilX	555
pilW	738
pilV	582
fimU	537
fimT	495
PST_0976	861
PST_0977	372
speA	1914
PST_0979	459
dinF	1374
PST_0981	294
PST_0982	936
PST_0983	450
PST_0984	558
PST_0985	609
PST_0986	1083
fruR	990
fruB	2883
fruK	936
fruA	1740
PST_0991	2391
PST_0992	369
prfC	1584
PST_0994	1164
PST_0995	681
PST_0996	2262
PST_0997	1446
PST_0998	873
PST_0999	495
PST_1000	678
PST_1001	2223
PST_1002	705
PST_1003	1254
PST_1004	561
PST_1005	942
PST_1006	996
PST_1007	357
PST_1008	426
PST_1009	1077
PST_1010	1086
PST_1011	501
gatB	1446
gatA	1467
gatC	288
mreB	1059
mreC	954
mreD	489
PST_1018	1149
maf-2	591
cafA	1458
PST_1021	3801
PST_1022	846
PST_1023	1443
PST_1025	522
PST_1024	516
pmbA	1347
ptsO	273
PST_1028	858
ptsN	465
rpoX	309
rpoN	1374
PST_1032	726
PST_1033	546
PST_1034	480
PST_1035	525
PST_1036	957
ttg2A	816
ttg2B	798
ttg2C	459
ttg2D	648
ttg2E	315
PST_1042	492
ttg2F	240
murA	1266
hisG	747
hisD	1308
hisC	1047
algW	1152
PST_1049	759
cysD	918
cysN	1899
PST_1052	555
PST_1053	591
PST_1054	513
pilB	1704
pilC	1218
pilD	870
coaE	804
PST_1059	681
PST_1060	1041
rplM	429
rpsI	393
petA	594
petB	1212
petC	780
sspA	618
sspB	408
PST_1068	579
gmhA	531
PST_1070	363
PST_1071	1803
PST_1072	957
PST_1073	405
mraW	882
ftsL	291
ftsI	1728
murE	1464
murF	1377
mraY	1083
murD	1344
ftsW	1224
murG	1071
murC	1458
ddl	945
ftsQ	858
ftsA	1248
ftsZ	1182
lpxC	912
PST_1089	1203
PST_1090	534
PST_1091	399
osmE	342
PST_1093	1344
PST_1094	519
PST_1095	1023
PST_1096	486
PST_1097	495
PST_1098	588
PST_1099	912
PST_1100	1731
PST_1101	288
mqoB	1437
PST_1103	204
PST_1104	585
PST_1105	1494
PST_1106	273
PST_1108	1167
PST_1107	525
PST_1109	261
PST_1110	618
PST_1111	1970
PST_1113	819
PST_1114	444
PST_1115	588
rsmC	999
hprA	963
PST_1118	612
alkK-1	1692
PST_1120	2037
PST_1121	645
PST_1122	654
PST_1123	3720
PST_1124	2124
PST_1125	909
pta	2097
PST_1127	1188
slyD	486
PST_1129	483
PST_1130	582
PST_1131	1110
cysZ	756
PST_1133	339
PST_1134	330
folX	375
PST_1136	705
PST_1137	627
PST_1138	453
PST_1139	777
PST_1140	570
PST_1141	795
PST_1142	744
PST_1143	888
PST_1144	1161
PST_1145	687
PST_1146	267
PST_1147	1524
PST_1148	1131
PST_1149	1035
pykA	1449
PST_1151	378
PST_1152	423
PST_1153	438
PST_1154	1332
PST_1155	1014
PST_1156	1173
PST_1157	1554
PST_1158	981
PST_1159	714
sbcB	1434
mvaT	408
PST_1162	420
PST_1163	1506
PST_1164	525
purU	834
PST_1166	207
PST_1167	1476
PST_1168	324
algA	1446
PST_1170	780
PST_1171	984
PST_1172	1389
moaC	471
moaD	249
moaE	459
PST_1176	165
rhlB	1431
PST_1178	657
PST_1179	594
purL	3897
PST_1181	327
