locus_id	gene_name	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8
ECDH10B_2640	ypfI	96.0	230.0	171.0	510.0	162.0	199.0	21.0	17.0	241.0	1132.0	117.0	252.0	160.0	1219.0	215.0	316.0
ECDH10B_2641	ypfJ	187.0	316.0	134.0	537.0	83.0	202.0	0.0	7.0	304.0	1128.0	185.0	152.0	245.0	1540.0	249.0	541.0
ECDH10B_2638	ypfN	76.0	6.0	15.0	130.0	17.0	59.0	0.0	0.0	75.0	178.0	22.0	38.0	17.0	213.0	65.0	61.0
ECDH10B_2710	yphA	0.0	71.0	48.0	82.0	16.0	1.0	0.0	0.0	20.0	6.0	6.0	45.0	14.0	192.0	45.0	54.0
ECDH10B_2711	yphB	0.0	15.0	27.0	86.0	0.0	0.0	0.0	0.0	12.0	21.0	0.0	11.0	32.0	265.0	42.0	136.0
ECDH10B_2712	yphC	7.0	0.0	11.0	77.0	10.0	21.0	0.0	0.0	22.0	38.0	30.0	24.0	0.0	225.0	45.0	105.0
ECDH10B_2713	yphD	8.0	0.0	0.0	27.0	11.0	8.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	37.0	50.0	8.0
ECDH10B_2714	yphE	11.0	9.0	0.0	31.0	0.0	8.0	0.0	0.0	12.0	30.0	5.0	13.0	0.0	84.0	0.0	52.0
ECDH10B_2715	yphF	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	26.0	12.0	29.0	0.0	0.0	8.0	0.0	20.0
ECDH10B_2716	yphG	21.0	23.0	18.0	55.0	38.0	14.0	0.0	0.0	51.0	48.0	24.0	15.0	59.0	126.0	9.0	33.0
ECDH10B_2717	yphH	18.0	71.0	45.0	266.0	66.0	123.0	0.0	0.0	91.0	229.0	63.0	84.0	92.0	632.0	176.0	235.0
ECDH10B_2819	ypjC	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	25.0	31.0	0.0	28.0	0.0	68.0	20.0	47.0
ECDH10B_2814	ypjF	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	6.0	62.0	0.0	0.0	0.0	32.0	0.0	20.0
ECDH10B_2812	ypjJ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ECDH10B_2801	ypjK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ECDH10B_2805	ypjL	15.0	0.0	18.0	85.0	3.0	28.0	0.0	0.0	84.0	111.0	33.0	71.0	20.0	171.0	25.0	104.0
ECDH10B_2857	yqaA	96.0	75.0	74.0	348.0	29.0	62.0	18.0	0.0	125.0	425.0	84.0	99.0	72.0	739.0	70.0	209.0
ECDH10B_2858	yqaB	146.0	122.0	146.0	977.0	152.0	293.0	62.0	11.0	680.0	2016.0	127.0	339.0	257.0	1671.0	324.0	695.0
ECDH10B_2833	yqaE	30.0	21.0	0.0	4.0	43.0	22.0	20.0	0.0	12.0	33.0	32.0	33.0	71.0	583.0	59.0	272.0
ECDH10B_2958	yqcA	183.0	249.0	154.0	427.0	141.0	164.0	13.0	0.0	204.0	564.0	263.0	359.0	402.0	3326.0	425.0	1465.0
ECDH10B_2960	yqcC	0.0	0.0	0.0	40.0	0.0	13.0	0.0	0.0	19.0	129.0	0.0	0.0	20.0	48.0	0.0	32.0
ECDH10B_2942	yqcE	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
ECDH10B_3049	yqeA	57.0	20.0	13.0	56.0	0.0	10.0	0.0	0.0	76.0	101.0	20.0	68.0	70.0	259.0	33.0	192.0
ECDH10B_3050	yqeB	254.0	209.0	0.0	68.0	13.0	77.0	0.0	0.0	145.0	267.0	2.0	81.0	0.0	232.0	16.0	86.0
ECDH10B_3051	yqeC	100.0	58.0	0.0	0.0	0.0	22.0	0.0	0.0	44.0	79.0	0.0	0.0	0.0	9.0	0.0	22.0
ECDH10B_3016	yqeF	152.0	42.0	32.0	176.0	17.0	112.0	0.0	13.0	90.0	778.0	95.0	155.0	22.0	211.0	85.0	141.0
ECDH10B_3017	yqeG	91.0	35.0	114.0	351.0	87.0	188.0	22.0	0.0	399.0	1036.0	135.0	220.0	109.0	1283.0	111.0	271.0
ECDH10B_3018	yqeH	0.0	9.0	10.0	27.0	14.0	32.0	0.0	0.0	24.0	45.0	0.0	19.0	0.0	62.0	48.0	29.0
ECDH10B_3019	yqeI	66.0	46.0	0.0	9.0	0.0	45.0	7.0	0.0	23.0	228.0	29.0	0.0	0.0	39.0	0.0	0.0
ECDH10B_3020	yqeJ	51.0	26.0	5.0	16.0	0.0	6.0	0.0	0.0	0.0	61.0	0.0	12.0	6.0	12.0	7.0	48.0
ECDH10B_3021	yqeK	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	38.0	20.0	0.0
ECDH10B_3073	yqfA	1122.0	1210.0	872.0	2987.0	381.0	717.0	69.0	37.0	676.0	1456.0	1406.0	1381.0	1590.0	11253.0	2748.0	6081.0
ECDH10B_3074	yqfB	113.0	50.0	12.0	194.0	10.0	66.0	0.0	0.0	40.0	313.0	76.0	30.0	77.0	503.0	57.0	165.0
ECDH10B_3090	yqfE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	12.0	19.0	6.0	0.0	16.0	0.0	10.0
ECDH10B_3147	yqgA	264.0	92.0	7.0	65.0	0.0	115.0	0.0	0.0	194.0	294.0	16.0	44.0	53.0	183.0	31.0	16.0
ECDH10B_3114	yqgB	16.0	86.0	185.0	370.0	40.0	183.0	9.0	33.0	141.0	688.0	82.0	168.0	101.0	690.0	37.0	196.0
ECDH10B_3115	yqgC	0.0	0.0	9.0	11.0	0.0	0.0	0.0	0.0	0.0	33.0	9.0	0.0	11.0	18.0	0.0	0.0
ECDH10B_3116	yqgD	16.0	54.0	62.0	102.0	60.0	57.0	0.0	0.0	60.0	202.0	62.0	69.0	100.0	294.0	39.0	61.0
