locus_id	gene_name	log2(FC)	log2(CPM)	p_value	fdr
ECDH10B_1042	hyaA	-8.0015026033173	2.68360675371582	0.0110605973259633	0.610234999911634
ECDH10B_0742	nagA	-4.15744760543579	4.51916106778223	0.0110615868893538	0.610234999911634
ECDH10B_4524	yjjZ	9.32346810640964	4.19635728948234	0.0112350119085416	0.610234999911634
ECDH10B_3132	ansB	-2.56673433555898	8.21181177967041	0.0113261944001329	0.610234999911634
ECDH10B_0266	yagL	-7.86328626479593	2.56978882616516	0.0113317365870799	0.610234999911634
ECDH10B_0905	bssR	-3.35800713229383	6.45672730254803	0.011734128056324	0.624198372947382
ECDH10B_2898	hypE	-3.72542718970375	6.19816117945433	0.0120296820099582	0.626322968075184
ECDH10B_4215	yjbE	4.96882858320934	5.34186696405927	0.0121064627190359	0.626322968075184
ECDH10B_3688	gadE	-3.84103781419976	6.19908695249819	0.0122048262921574	0.626322968075184
ECDH10B_2071	yedF	-7.83047237567746	2.54321310430231	0.0123832366420334	0.628089281773833
ECDH10B_4326	cadC	-4.11927710253787	4.12137974315598	0.0127043952459968	0.636972092678596
ECDH10B_2303	yeiT	-4.00917196461917	3.48981865916523	0.0129673966781797	0.642770276252501
ECDH10B_3298	garR	-7.76036980459646	2.48873713130661	0.0131678976190545	0.645374937239502
ECDH10B_4537	yjjW	-3.99443641466335	4.75658529050639	0.0134283849221842	0.647563639636443
ECDH10B_4347	frdC	-3.62449249074768	7.27477263491169	0.0136469951342795	0.647563639636443
ECDH10B_2594	murP	-7.86615103322689	2.5744099227911	0.0139165774278132	0.647563639636443
ECDH10B_2093	rcsA	4.58954524955131	6.65256117810312	0.014026743517475	0.647563639636443
ECDH10B_3884	yidB	-7.68744929824012	2.42936203675515	0.0140653057756646	0.647563639636443
ECDH10B_3044	ygeV	-3.68888171940039	5.88594189145475	0.0141032888045534	0.647563639636443
ECDH10B_1439	ycjW	-4.13412235622826	3.37505306446044	0.014511784728285	0.656980146949901
ECDH10B_1640	ydeU	-4.12755436049738	3.36937420924657	0.0146095997831592	0.656980146949901
ECDH10B_2247	gatA	-3.54459921443036	7.12539055675179	0.0157911953497851	0.669046748354554
ECDH10B_3541	nirB	-3.58484601301869	7.50362455613043	0.0157983805152576	0.669046748354554
ECDH10B_1720	ynfE	-3.7728438416513	5.3478315735631	0.0159710242302683	0.669046748354554
ECDH10B_3329	yhbS	-3.15428019373357	6.74366016929346	0.0161323724772531	0.669046748354554
