gene_name	Koxym5a1_1	Koxym5a1_2	Koxym5a1_synnifI4_1	Koxym5a1_synnifI4_2
KOXM_09759	435	1015	1268	492
KOXM_09774	106	465	305	421
KOXM_09779	3	11	0	0
KOXM_09784	373	513	410	307
KOXM_09789	10	36	17	0
KOXM_09794	27	36	43	23
KOXM_09799	15	12	5	6
KOXM_09804	113	259	176	113
KOXM_09809	26	0	5	30
KOXM_09814	2393	1240	2167	404
KOXM_09829	21	96	237	55
KOXM_09834	527	653	985	443
KOXM_09839	52	94	70	26
KOXM_09844	67	132	166	64
KOXM_09849	228	503	552	148
KOXM_09854	267	543	661	304
KOXM_09859	56	37	92	60
KOXM_09864	143	135	126	76
KOXM_09869	149	139	246	36
KOXM_09874	21	67	195	82
KOXM_09879	60	79	124	61
KOXM_09884	99	143	207	117
KOXM_09889	14	86	95	32
KOXM_09904	1997	2354	2086	1150
KOXM_09909	0	0	0	0
KOXM_09914	73	204	423	178
KOXM_09919	42	120	135	110
KOXM_09934	201	294	300	131
KOXM_09939	14	12	0	0
KOXM_09944	1900	2367	3049	1197
KOXM_09949	40	36	127	83
KOXM_09954	80	74	339	114
KOXM_09959	4	9	150	59
KOXM_09964	12	9	55	27
KOXM_09979	42	36	56	5
KOXM_09984	12	69	8	8
KOXM_09989	3	71	40	45
KOXM_10004	101	206	309	142
KOXM_10009	296	336	890	318
KOXM_10014	450	539	1698	243
KOXM_10019	610	729	1644	438
KOXM_10024	89	70	327	62
KOXM_10029	252	462	341	101
KOXM_10034	100	93	69	18
KOXM_10039	88	137	196	100
KOXM_10044	0	0	0	0
KOXM_10049	0	32	58	13
KOXM_10054	89	69	171	12
KOXM_10059	0	7	21	16
KOXM_10064	15	13	23	17
KOXM_10069	103	170	106	163
KOXM_10074	29	44	15	20
KOXM_10079	41	62	0	15
KOXM_10084	161	211	316	156
KOXM_10089	342	331	701	194
KOXM_10094	0	0	0	5
KOXM_10099	0	0	0	0
KOXM_10104	0	0	0	0
KOXM_10109	39	46	24	24
KOXM_10114	0	9	21	2
KOXM_10119	19	45	7	14
KOXM_10124	13	12	0	0
KOXM_10129	370	590	496	250
KOXM_10134	149	123	270	107
KOXM_10139	512	695	1159	297
KOXM_10144	349	291	534	140
KOXM_10149	835	949	1234	402
KOXM_10154	25	37	28	42
KOXM_10159	46	60	105	46
KOXM_10164	364	222	310	152
KOXM_10179	99	165	103	179
KOXM_10194	135	87	154	68
KOXM_10199	636	701	1530	471
KOXM_10204	826	697	2488	482
KOXM_10209	50	198	33	136
KOXM_10214	56	23	211	69
KOXM_10229	427	548	570	257
KOXM_10234	105	220	213	396
KOXM_10239	0	0	6	0
KOXM_10244	35	29	75	27
KOXM_10249	3296	753	13914	2279
KOXM_10254	370	60	985	236
KOXM_10259	1023	328	2499	494
KOXM_10264	393	77	631	40
KOXM_10269	131	9	457	23
KOXM_10274	33	15	156	0
KOXM_10279	128	22	431	60
KOXM_10284	0	0	16	0
KOXM_10289	163	49	1509	187
KOXM_10294	0	55	15	35
KOXM_10299	12	41	10	13
KOXM_10314	93	36	111	12
KOXM_10319	32	65	73	9
KOXM_10324	0	0	4	6
KOXM_10329	0	6	0	0
KOXM_10334	0	0	0	0
KOXM_10339	0	0	0	0
KOXM_10344	0	0	0	0
KOXM_10349	0	0	0	0
KOXM_10354	0	0	0	0
KOXM_10369	1255	1702	1077	1057
KOXM_10374	27	75	207	75
KOXM_10379	14	56	139	116
KOXM_10384	5	56	63	26
KOXM_10389	19	79	52	74
KOXM_10394	0	29	16	51
KOXM_10399	0	0	0	0
KOXM_10404	10	0	13	0
KOXM_10409	0	17	23	0
KOXM_10414	170	300	40	75
KOXM_10419	11	0	10	17
KOXM_10424	35	71	81	24
KOXM_10429	19	9	24	0
KOXM_10444	24	72	155	72
KOXM_10459	0	12	27	0
KOXM_10464	29	0	130	33
KOXM_10469	47	41	69	0
KOXM_10474	0	24	28	0
KOXM_10479	92	266	528	239
KOXM_10484	24	43	381	136
KOXM_10489	0	28	209	27
KOXM_10494	33	30	1002	148
KOXM_10499	0	0	835	121
KOXM_10504	0	32	238	39
KOXM_10509	0	0	2	0
KOXM_10514	0	0	57	26
KOXM_10519	7	7	17	0
KOXM_10524	0	0	3	0
KOXM_10529	0	8	49	31
KOXM_10534	0	0	0	0
KOXM_10539	0	0	12	0
KOXM_10544	12	17	181	40
KOXM_10549	18	9	95	0
KOXM_10554	116	122	168	0
KOXM_10559	5	49	53	43
KOXM_10564	40	159	69	88
KOXM_10569	28	85	44	9
KOXM_10574	26	70	47	20
KOXM_10579	0	123	40	52
KOXM_10584	74	127	104	93
KOXM_10589	236	434	289	136
KOXM_10594	27	69	37	103
KOXM_10599	27	70	38	42
KOXM_10614	259	508	3204	797
KOXM_10619	0	6	0	0
KOXM_10624	16	40	53	9
KOXM_10629	296	102	334	236
KOXM_10634	88	249	260	123
KOXM_10639	140	255	246	205
KOXM_10644	145	536	384	236
KOXM_10659	195	417	230	232
KOXM_10664	63	133	232	111
KOXM_10669	69	120	119	123
KOXM_10674	0	18	0	7
KOXM_10679	0	16	61	25
KOXM_10684	27	74	61	45
KOXM_10689	0	25	57	0
KOXM_10694	0	38	24	13
KOXM_10699	0	0	0	0
KOXM_10704	17	16	23	25
KOXM_10709	812	1251	2027	572
KOXM_10714	10	29	119	19
KOXM_10719	171	415	264	223
KOXM_10724	0	2	31	0
KOXM_10729	12	61	89	43
KOXM_10734	151	239	325	43
KOXM_10739	50	32	120	33
KOXM_10744	96	71	279	71
KOXM_10749	546	129	715	223
KOXM_10754	62	62	445	50
KOXM_10759	1470	2560	3030	2323
KOXM_10774	1277	1300	1592	739
KOXM_10779	1217	2040	4819	1536
KOXM_10784	417	679	2121	591
KOXM_10789	185	561	2597	650
KOXM_10794	55	210	336	173
KOXM_10799	18	70	52	61
KOXM_10804	79	155	57	20
KOXM_10809	0	3	11	0
KOXM_10814	0	0	0	9
KOXM_10819	12	89	95	0
KOXM_10824	33	210	59	343
KOXM_10839	227	257	654	101
KOXM_10854	0	16	22	3
KOXM_10859	0	0	0	0
KOXM_10864	0	0	0	0
KOXM_10869	0	21	13	0
KOXM_10874	0	9	10	0
KOXM_10879	18	25	27	58
KOXM_10884	0	29	0	33
KOXM_10889	5	59	65	19
KOXM_10894	13	24	0	52
KOXM_10899	17	116	18	37
KOXM_10904	68	96	93	20
KOXM_10909	0	14	12	39
KOXM_10914	76	53	12	46
KOXM_10919	39	38	9	5
KOXM_10924	282	535	691	709
KOXM_10929	126	186	245	172
KOXM_10934	58	84	61	68
KOXM_10939	36	202	107	185
KOXM_10944	51	211	238	177
KOXM_10949	206	432	349	312
KOXM_10954	56	104	67	26
KOXM_10959	20	36	63	39
KOXM_10964	2	0	65	0
KOXM_10969	48	37	75	28
KOXM_10974	35	45	110	42
KOXM_10979	378	611	1728	458
KOXM_10984	162	187	3846	1088
KOXM_10989	71	62	7	0
KOXM_10994	37	21	33	13
KOXM_10999	5	0	0	0
KOXM_11004	0	20	27	16
KOXM_11009	0	8	0	0
KOXM_11014	11	25	29	15
KOXM_11019	0	11	0	0
KOXM_11024	0	28	9	27
KOXM_11029	11	21	8	0
KOXM_11044	7	78	53	6
KOXM_11049	90	141	532	99
KOXM_11054	58	59	569	36
KOXM_11059	98	91	306	10
KOXM_11064	27	0	95	0
KOXM_11069	82	17	549	41
KOXM_11074	77	40	255	19
KOXM_11079	16	91	176	231
KOXM_11084	0	31	0	0
KOXM_11089	90	197	29	38
KOXM_11094	22	161	131	102
KOXM_11099	143	355	502	229
KOXM_11104	0	29	16	11
KOXM_11109	82	88	60	51
KOXM_11114	0	0	0	0
KOXM_11119	15	0	13	0
KOXM_11134	25	38	98	54
KOXM_11139	10	7	42	12
KOXM_11144	19	26	40	0
KOXM_11149	0	72	34	27
KOXM_11154	0	5	0	0
KOXM_11159	23	19	10	7
KOXM_11174	0	14	13	0
KOXM_11179	0	0	0	0
KOXM_11184	0	0	20	0
KOXM_11189	0	120	35	21
KOXM_11194	109	57	158	65
KOXM_11199	179	172	242	75
KOXM_11204	0	11	31	0
KOXM_11209	26	113	167	77
KOXM_11214	17	61	52	15
KOXM_11219	0	0	0	0
KOXM_11224	33	47	104	38
KOXM_11229	13	226	31	360
KOXM_11234	0	36	15	38
KOXM_11239	0	0	0	33
KOXM_11244	0	18	14	2
KOXM_11249	30	74	30	63
KOXM_11254	20	65	65	56
KOXM_11269	0	109	53	115
KOXM_11274	12	208	111	47
KOXM_11279	0	0	14	0
KOXM_11284	2408	1578	4104	819
KOXM_11289	110	187	172	70
KOXM_11294	66	110	47	74
KOXM_11299	31	107	177	16
KOXM_11304	24	41	63	76
KOXM_11309	18	79	37	60
KOXM_11314	3562	558	3977	286
KOXM_11319	2627	646	3491	397
KOXM_11324	30	8	13	0
KOXM_11329	29	0	0	18
KOXM_11334	0	0	31	0
KOXM_11339	221	196	153	70
KOXM_11354	82	244	103	175
KOXM_11359	17	11	57	43
KOXM_11364	17	0	50	6
KOXM_11379	0	0	24	0
KOXM_11384	0	0	16	6
KOXM_11389	18	55	31	0
KOXM_11394	9	12	7	45
KOXM_11399	32	47	26	50
KOXM_11404	0	2	30	5
KOXM_11409	0	46	434	169
KOXM_11414	0	13	420	110
KOXM_11419	22	17	344	126
KOXM_11424	66	110	196	84
KOXM_11429	0	0	19	0
KOXM_11434	8	10	0	0
KOXM_11439	45	28	46	0
KOXM_11444	90	130	158	76
KOXM_11449	13	32	24	0
KOXM_11454	86	123	20	81
KOXM_11459	44	136	43	34
KOXM_11464	27	38	18	64
KOXM_11469	53	202	63	80
KOXM_11474	106	254	61	121
KOXM_11479	9	12	6	0
KOXM_11484	13	130	74	108
KOXM_11489	0	10	81	13
KOXM_11494	13	70	86	44
KOXM_11499	0	0	62	0
KOXM_11504	0	0	34	0
KOXM_11539	26	29	63	26
KOXM_11544	0	26	27	10
KOXM_11554	0	0	0	47
KOXM_11559	0	18	23	67
KOXM_11564	14	0	13	8
KOXM_11569	12	13	219	193
KOXM_11574	0	0	0	0
KOXM_11579	9	0	46	37
KOXM_11584	11	4	188	137
KOXM_11589	20	32	127	5
KOXM_11594	0	38	0	10
KOXM_11599	0	5	0	0
KOXM_11604	43	52	42	62
KOXM_11609	3	29	14	18
KOXM_11614	0	15	12	2
KOXM_11619	0	10	46	0
KOXM_11624	0	0	39	4
KOXM_11639	0	0	0	0
KOXM_11644	0	0	0	0
KOXM_11649	0	0	0	0
KOXM_11654	5	0	7	0
KOXM_11659	0	12	65	17
KOXM_11664	14	156	24	3
KOXM_11669	16	40	87	105
KOXM_11674	0	11	0	0
KOXM_11679	43	58	223	167
KOXM_11684	25	40	107	8
KOXM_11689	43	80	245	26
KOXM_11694	36	90	48	39
KOXM_11699	27	17	20	17
KOXM_11704	272	260	693	208
KOXM_11709	28	111	76	95
KOXM_11714	133	138	390	198
KOXM_11719	24	61	76	45
KOXM_11724	0	38	0	32
KOXM_11729	0	73	61	96
KOXM_11734	9	14	38	18
KOXM_11739	0	48	89	30
KOXM_11744	0	0	0	0
KOXM_11749	0	0	0	0
KOXM_11764	0	0	18	6
KOXM_11779	0	9	164	56
KOXM_11784	11	35	9	4
KOXM_11789	19	41	64	0
KOXM_11794	0	19	63	21
KOXM_11799	488	1112	466	340
KOXM_11804	1452	2521	1048	523
KOXM_11809	1193	2046	899	577
KOXM_11814	1505	3033	1215	884
KOXM_11819	282	900	292	174
KOXM_11824	233	944	325	265
KOXM_11829	213	807	444	263
KOXM_11834	2858	6120	2196	1896
KOXM_11839	100	217	65	38
KOXM_11844	4696	10340	4431	3261
KOXM_11849	173	534	181	78
KOXM_11854	175	420	742	226
KOXM_11859	1028	1153	2577	831
KOXM_11864	30	151	88	35
KOXM_11869	9	32	17	14
KOXM_11874	8	4	42	68
KOXM_11899	14	11	65	12
KOXM_11904	40	144	236	152
KOXM_11909	24	63	6	10
KOXM_11914	0	0	0	0
KOXM_11929	43	221	107	54
KOXM_11944	30	81	21	16
KOXM_11949	0	0	13	12
KOXM_11954	16	19	25	67
KOXM_11959	0	0	4	0
KOXM_11964	18	47	75	27
KOXM_11979	61	36	98	53
KOXM_11984	117	244	220	106
KOXM_11989	72	174	194	81
KOXM_12004	21	35	39	22
KOXM_12009	11	17	32	8
KOXM_12014	11	18	29	25
KOXM_12019	9	24	20	15
KOXM_12024	0	11	0	10
KOXM_12029	0	0	0	0
KOXM_12034	11	0	0	0
KOXM_12039	0	0	0	0
KOXM_12044	0	0	3	35
KOXM_12049	0	0	0	0
KOXM_12064	0	5	0	2
KOXM_12069	17	55	79	31
KOXM_12074	11	104	57	0
KOXM_12079	0	13	2	7
KOXM_12084	37	71	48	30
KOXM_12089	58	69	58	61
KOXM_12094	16	120	50	103
KOXM_12099	0	20	20	0
KOXM_12104	29	66	100	87
KOXM_12109	7	6	78	3
KOXM_12114	224	271	1224	280
KOXM_12119	740	108	3328	90
KOXM_12124	78	85	108	42
KOXM_12129	76	371	289	131
KOXM_12134	269	837	1061	494
KOXM_12139	53	36	49	1
KOXM_12144	91	18	114	41
KOXM_12149	26	6	19	26
KOXM_12154	4	70	43	15
KOXM_12169	76	366	139	231
KOXM_12174	37	59	136	30
KOXM_12179	161	81	167	91
KOXM_12184	203	439	906	159
KOXM_12189	0	11	7	0
KOXM_12194	14	2	26	23
KOXM_12199	0	0	0	0
KOXM_12204	0	11	0	0
KOXM_12209	29	51	91	63
KOXM_12214	0	0	4	0
KOXM_12219	0	0	17	0
KOXM_12224	0	12	23	13
KOXM_12229	0	0	0	0
KOXM_12234	0	0	3	0
KOXM_12239	0	0	0	0
KOXM_12244	0	0	0	0
KOXM_12249	0	0	0	0
KOXM_12254	0	0	22	0
KOXM_12259	0	0	0	0
KOXM_12264	0	0	0	0
KOXM_12269	0	18	19	20
KOXM_12274	0	0	11	14
KOXM_12279	0	0	15	0
KOXM_12284	32	49	77	18
KOXM_12289	86	104	293	110
KOXM_12294	336	286	615	103
KOXM_12299	141	157	290	18
KOXM_12304	0	0	0	0
KOXM_12309	0	0	0	0
KOXM_12314	41	84	266	98
KOXM_12319	111	67	256	130
KOXM_12324	915	561	1951	819
KOXM_12329	47	59	82	22
KOXM_12334	28	19	52	7
KOXM_12339	94	281	767	261
KOXM_12344	161	173	462	144
KOXM_12349	76	95	154	77
KOXM_12354	117	355	193	124
KOXM_12359	243	347	470	148
KOXM_12364	15	258	183	136
KOXM_12369	148	148	256	83
KOXM_12374	349	582	595	414
KOXM_12379	307	597	631	351
KOXM_12384	269	414	851	859
KOXM_12389	124	137	295	225
KOXM_12394	1607	302	3954	368
KOXM_12399	0	15	0	0
KOXM_12404	0	0	0	0
KOXM_12409	16	0	19	8
KOXM_12414	0	0	0	0
KOXM_12419	21	55	34	3
KOXM_12424	376	1117	1527	924
KOXM_12429	193	474	692	668
KOXM_12434	434	786	1183	679
KOXM_12439	120	166	253	73
KOXM_12444	55	29	63	26
KOXM_12449	101	162	362	182
KOXM_12454	149	262	645	123
KOXM_12469	0	0	0	0
KOXM_12474	20	20	79	14
KOXM_12479	8	10	0	0
KOXM_12484	21	26	36	0
KOXM_12489	508	589	646	284
KOXM_12494	76	76	217	91
KOXM_12509	4	70	47	8
KOXM_12514	0	14	33	9
KOXM_12519	427	571	719	453
KOXM_12524	196	482	566	247
KOXM_12539	306	235	435	204
KOXM_12544	187	533	647	469
KOXM_12549	224	316	451	428
KOXM_12554	31	98	93	107
KOXM_12559	178	194	351	197
KOXM_12564	284	166	159	101
KOXM_12569	68	231	126	228
KOXM_12574	23	102	0	38
KOXM_12579	58	40	164	73
KOXM_12594	2	39	11	35
KOXM_12599	126	136	149	52
KOXM_12604	54	91	179	33
KOXM_12609	193	218	1249	228
KOXM_12614	420	475	1082	507
KOXM_12619	19	68	56	37
KOXM_12624	8	19	22	12
KOXM_12629	0	0	25	0
KOXM_12634	25	38	32	14
KOXM_12639	17	36	20	15
KOXM_12644	53	0	0	12
KOXM_12649	0	0	24	0
KOXM_12654	47	38	72	0
KOXM_12659	71	91	73	38
KOXM_12664	57	112	62	68
KOXM_12669	23	50	39	44
KOXM_12674	9	87	77	83
KOXM_12679	10	68	10	17
KOXM_12684	39	117	158	111
KOXM_12689	49	132	118	55
KOXM_12694	189	244	232	136
KOXM_12699	0	5	0	0
KOXM_12704	0	9	0	0
KOXM_12709	0	11	1	0
KOXM_12714	103	153	294	109
KOXM_12719	81	116	58	15
KOXM_12724	0	22	23	0
KOXM_12729	42	33	68	0
KOXM_12734	92	164	243	86
KOXM_12739	0	0	15	4
KOXM_12744	42	62	81	55
KOXM_12749	262	138	473	107
KOXM_12754	144	212	341	182
KOXM_12759	278	250	595	351
KOXM_12764	49	58	187	87
KOXM_12769	0	8	0	37
KOXM_12774	0	1	51	4
KOXM_12779	18	212	93	45
KOXM_12786	0	0	0	0
KOXM_12791	0	0	0	0
KOXM_12796	0	0	0	0
KOXM_12801	0	0	0	0
KOXM_12806	0	0	0	0
KOXM_12811	0	0	0	0
KOXM_12816	0	0	0	0
KOXM_12831	0	0	0	0
KOXM_12836	0	0	0	0
KOXM_12841	0	0	0	0
KOXM_12846	0	0	0	0
KOXM_12851	0	0	0	0
KOXM_12856	0	0	0	0
KOXM_12861	0	0	0	0
KOXM_12866	0	0	0	0
KOXM_12871	0	0	0	0
KOXM_12876	0	0	0	0
KOXM_12881	0	0	0	0
KOXM_12886	0	0	0	0
KOXM_12891	0	0	0	0
KOXM_12896	0	0	0	0
KOXM_12901	0	0	0	0
KOXM_12906	0	0	0	0
KOXM_12911	0	0	0	0
KOXM_12916	0	0	0	0
KOXM_12921	0	0	0	0
KOXM_12936	0	0	0	0
KOXM_12941	0	0	0	0
KOXM_12946	0	0	0	0
KOXM_12951	0	0	0	0
KOXM_12956	0	0	0	0
KOXM_12961	0	0	0	0
KOXM_12966	0	0	0	0
KOXM_12971	0	0	0	0
KOXM_12976	0	0	0	0
KOXM_12981	0	0	0	0
KOXM_12986	0	0	0	0
KOXM_12991	0	0	0	0
KOXM_13006	0	0	0	0
KOXM_13011	0	0	0	0
KOXM_13016	0	0	0	0
KOXM_13031	0	0	0	0
KOXM_13036	0	0	0	0
KOXM_13041	0	0	0	0
KOXM_13046	0	0	0	0
KOXM_13051	0	0	0	0
KOXM_13056	0	0	0	0
KOXM_13071	0	0	0	0
KOXM_13076	0	0	0	0
KOXM_13081	0	0	0	0
KOXM_13086	0	0	0	0
KOXM_13091	0	0	0	0
KOXM_13096	0	0	0	0
KOXM_13101	0	0	0	0
KOXM_13106	0	0	0	0
KOXM_13111	0	0	0	0
KOXM_13116	0	0	0	0
KOXM_13121	0	0	0	0
KOXM_13126	0	0	0	0
KOXM_13131	0	0	0	0
KOXM_13136	0	0	0	0
KOXM_13141	0	0	0	0
KOXM_13146	0	0	0	0
KOXM_13151	0	0	0	0
KOXM_13156	0	0	0	0
KOXM_13171	0	0	0	0
KOXM_13176	0	0	0	0
KOXM_13181	0	0	0	0
KOXM_13186	0	0	0	0
KOXM_13191	0	0	0	0
KOXM_13196	0	0	0	0
KOXM_13201	0	0	0	0
KOXM_13206	0	0	0	0
KOXM_13211	0	0	0	0
KOXM_13216	0	0	0	0
KOXM_13221	0	0	0	0
KOXM_13226	0	0	0	0
KOXM_13231	0	0	0	0
KOXM_13236	0	0	0	0
KOXM_13241	0	0	0	0
KOXM_13246	0	0	0	0
KOXM_13251	0	0	0	0
KOXM_13256	0	0	0	0
KOXM_13261	0	0	0	0
KOXM_13266	0	0	0	0
KOXM_13271	0	0	0	0
KOXM_13276	0	0	0	0
KOXM_13281	0	0	0	0
KOXM_13286	0	0	0	0
KOXM_13291	0	0	0	0
KOXM_13296	0	0	0	0
KOXM_13301	0	0	0	0
KOXM_13306	0	0	0	0
KOXM_13311	0	0	0	0
KOXM_13316	0	0	0	0
KOXM_13321	0	0	0	0
KOXM_13326	0	0	0	0
KOXM_13331	0	0	0	0
KOXM_13336	0	0	0	0
KOXM_13341	0	0	0	0
KOXM_13346	0	0	0	0
KOXM_13351	0	0	0	0
KOXM_13356	0	0	0	0
KOXM_13361	0	0	0	0
KOXM_13366	0	0	0	0
KOXM_13371	0	0	0	0
KOXM_13376	0	0	0	0
KOXM_13391	0	0	0	0
KOXM_13396	0	0	0	0
KOXM_13401	0	0	0	0
KOXM_13406	0	0	0	0
KOXM_13411	0	0	0	0
KOXM_13416	0	0	0	0
KOXM_13421	0	0	0	0
KOXM_13426	0	0	0	0
KOXM_13431	0	0	0	0
KOXM_13436	0	0	0	0
KOXM_13441	0	0	0	0
KOXM_13446	0	0	0	0
KOXM_13461	0	0	0	0
KOXM_13466	0	0	0	0
KOXM_13481	0	0	0	0
KOXM_13486	0	0	0	0
KOXM_13493	0	3	0	0
KOXM_13498	16	12	28	14
KOXM_13503	9	96	146	37
KOXM_13508	0	0	20	0
KOXM_13513	173	176	362	50
KOXM_13518	12	70	37	5
KOXM_13523	40	20	17	0
KOXM_13528	0	0	0	12
KOXM_13533	0	0	0	4
KOXM_13538	0	14	25	10
KOXM_13543	0	19	17	0
KOXM_13548	0	0	6	0
KOXM_13553	0	10	13	0
KOXM_13558	0	0	0	0
KOXM_13563	17	42	33	0
KOXM_13568	0	0	38	0
KOXM_13573	398	231	1085	122
KOXM_13578	135	187	323	75
KOXM_13583	120	95	329	38
KOXM_13588	0	0	0	0
KOXM_13593	0	0	18	15
KOXM_13598	28	52	109	25
KOXM_13603	15	18	14	26
KOXM_13608	0	0	0	0
KOXM_13613	0	0	0	0
KOXM_13618	15	4	38	20
KOXM_13623	0	0	17	0
KOXM_13628	0	5	0	0
KOXM_13633	0	0	0	0
KOXM_13638	0	0	32	0
KOXM_13643	532	809	1380	335
KOXM_13648	56	207	380	51
KOXM_13653	6	94	88	86
KOXM_13658	98	163	86	53
KOXM_13663	0	12	10	0
KOXM_13668	0	0	0	0
KOXM_13673	0	0	0	0
KOXM_13678	4	0	0	0
KOXM_13693	16	40	41	23
KOXM_13698	0	0	0	0
KOXM_13703	7	14	0	0
KOXM_13708	29	14	21	0
KOXM_13713	22	28	53	0
KOXM_13718	4	17	37	4
KOXM_13723	70	81	136	55
KOXM_13728	12	38	49	14
KOXM_13733	18	11	48	16
KOXM_13738	0	0	0	0
KOXM_13743	42	73	52	39
KOXM_13748	136	205	480	148
KOXM_13753	182	110	373	267
KOXM_13758	463	837	830	572
KOXM_13763	169	431	655	222
KOXM_13778	181	310	304	222
KOXM_13783	58	149	255	113
KOXM_13788	184	225	279	48
KOXM_13803	0	0	0	0
KOXM_13810	0	0	0	0
KOXM_13815	0	0	0	0
KOXM_13820	12	0	16	0
KOXM_13825	0	0	0	0
KOXM_13830	0	0	0	0
KOXM_13835	0	24	17	0
KOXM_13840	0	33	35	61
KOXM_13845	0	12	0	0
KOXM_13850	13	0	0	8
KOXM_13855	0	17	0	0
KOXM_13860	0	0	22	0
KOXM_13865	0	0	0	0
KOXM_13870	0	0	11	0
KOXM_13875	0	0	0	0
KOXM_13880	0	0	0	0
KOXM_13885	0	0	0	0
KOXM_13890	0	0	2	14
KOXM_13895	0	10	0	0
KOXM_13900	0	0	15	0
KOXM_13905	0	0	0	0
KOXM_13910	44	25	111	0
KOXM_13915	0	62	105	9
KOXM_13920	0	0	12	0
KOXM_13925	0	0	0	17
KOXM_13930	10	38	25	0
KOXM_13935	0	17	31	0
KOXM_13940	0	0	30	0
KOXM_13945	0	0	32	9
KOXM_13950	0	0	0	5
KOXM_13955	35	24	16	24
KOXM_13960	0	0	0	0
KOXM_13965	0	0	0	0
KOXM_13970	0	0	0	0
KOXM_13975	0	0	6	0
KOXM_13980	0	0	8	0
KOXM_13985	0	0	0	0
KOXM_13990	10	0	0	25
KOXM_13995	5	0	40	14
KOXM_14000	26	88	128	24
KOXM_14005	0	0	0	0
KOXM_14010	13	55	53	54
KOXM_14015	16	103	80	86
KOXM_14020	0	0	0	0
KOXM_14025	8	39	36	0
KOXM_14030	126	175	203	50
KOXM_14035	12	22	148	0
KOXM_14040	0	0	17	0
KOXM_14045	0	0	0	0
KOXM_14050	0	0	0	0
KOXM_14055	0	0	0	0
KOXM_14060	26	20	60	0
KOXM_14065	33	20	119	36
KOXM_14070	7	4	19	0
KOXM_14075	0	0	9	0
KOXM_14080	0	0	0	0
KOXM_14085	0	0	0	0
KOXM_14090	12	32	24	0
KOXM_14095	0	136	27	16
KOXM_14100	113	195	234	184
KOXM_14105	499	376	455	327
KOXM_14110	149	411	153	164
KOXM_14115	0	0	0	0
KOXM_14120	120	104	173	91
KOXM_14125	142	191	331	215
KOXM_14130	63	173	30	58
KOXM_14135	231	415	289	696
KOXM_14140	0	17	53	27
KOXM_14145	19	31	80	87
KOXM_14150	69	215	115	98
KOXM_14155	0	543	134	23
KOXM_14160	10	4103	1196	413
KOXM_14165	0	78	114	135
KOXM_14170	142	126	205	102
KOXM_14175	74	50	64	25
KOXM_14180	68	83	183	74
KOXM_14195	18	52	152	21
KOXM_14200	15	8	32	0
KOXM_14205	48	27	93	11
KOXM_14210	0	0	27	0
KOXM_14215	80	126	323	73
KOXM_14220	63	83	137	20
KOXM_14225	35	51	43	45
KOXM_14240	14	11	0	5
KOXM_14245	29	38	59	9
KOXM_14250	130	226	6498	1211
KOXM_14255	94	156	4950	729
KOXM_14260	0	0	0	0
KOXM_14265	0	39	2426	454
KOXM_14270	35	29	2166	583
KOXM_14275	11	61	828	326
KOXM_14280	0	0	25	0
KOXM_14285	0	33	13	0
KOXM_14290	9	74	26	23
KOXM_14305	25	29	31	88
KOXM_14310	266	626	64	46
KOXM_14315	1048	3117	661	1142
KOXM_14320	7	6	0	11
KOXM_14325	9	0	32	22
KOXM_14340	0	5	25	0
KOXM_14345	0	16	0	0
KOXM_14350	0	0	0	0
KOXM_14355	17	0	13	0
KOXM_14360	13	18	65	0
KOXM_14365	31	23	25	30
KOXM_14370	47	55	51	38
KOXM_14375	18	7	81	10
KOXM_14380	106	26	77	34
KOXM_14385	36	78	35	17
KOXM_14390	29	76	247	73
KOXM_14395	24	144	82	19
KOXM_14400	36	50	102	24
KOXM_14405	25	48	13	17
KOXM_14410	46	62	31	24
KOXM_14415	0	0	0	0
KOXM_14420	0	9	0	10
KOXM_14425	0	24	0	8
KOXM_14430	363	472	250	292
KOXM_14435	9	15	0	0
KOXM_14450	7	0	31	0
KOXM_14455	6	0	0	11
KOXM_14460	0	0	0	0
KOXM_14465	0	0	0	0
KOXM_14470	0	0	17	0
KOXM_14475	0	0	0	0
KOXM_14480	6	0	0	0
KOXM_14485	0	21	4	0
KOXM_14490	91	124	186	33
KOXM_14495	0	36	0	10
KOXM_14500	17	43	125	40
KOXM_14505	44	42	211	25
KOXM_14510	35	101	76	71
KOXM_14515	15	11	15	8
KOXM_14520	0	0	14	15
KOXM_14525	142	90	240	88
KOXM_14530	209	403	258	159
KOXM_14535	8	20	70	34
KOXM_14540	0	0	26	0
KOXM_14545	12	2	52	70
KOXM_14550	5	0	25	0
KOXM_14555	30	0	0	8
KOXM_14560	0	14	0	0
KOXM_14565	42	0	0	19
KOXM_14570	0	21	17	15
KOXM_14575	0	0	4	0
KOXM_14580	0	0	13	0
KOXM_14585	0	0	14	6
KOXM_14590	0	20	6	14
KOXM_14595	63	119	179	70
KOXM_14600	5	25	10	18
KOXM_14605	81	93	101	56
KOXM_14610	56	152	194	99
KOXM_14615	143	293	285	210
KOXM_14620	165	351	642	250
KOXM_14625	100	72	173	76
KOXM_14630	43	77	68	32
KOXM_14635	208	393	382	189
KOXM_14650	606	587	1529	433
KOXM_14655	704	654	2249	644
KOXM_14660	124	243	412	97
KOXM_14665	319	587	856	381
KOXM_14670	407	624	1011	315
KOXM_14675	0	23	28	0
KOXM_14680	27	14	32	0
KOXM_14685	18	72	36	38
KOXM_14690	12	0	9	0
