gene_name	Koxym5a1_1	Koxym5a1_2	Koxym5a1_synnifI4_1	Koxym5a1_synnifI4_2
KOXM_01721	0	0	0	0
KOXM_01726	137	165	147	104
KOXM_01731	7	0	41	6
KOXM_01736	114	181	218	88
KOXM_01741	80	73	85	50
KOXM_01746	138	103	123	54
KOXM_01761	434	278	659	187
KOXM_01766	409	699	774	329
KOXM_01781	121	94	242	54
KOXM_01786	145	110	165	120
KOXM_01791	0	10	0	0
KOXM_01796	0	0	2	0
KOXM_01801	0	0	0	7
KOXM_01806	0	0	0	0
KOXM_01811	184	330	772	165
KOXM_01816	394	577	812	404
KOXM_01821	294	601	1142	385
KOXM_01846	203	468	371	332
KOXM_01851	132	186	353	97
KOXM_01856	0	0	0	0
KOXM_01861	0	0	0	0
KOXM_01866	0	0	10	0
KOXM_01871	33	10	36	43
KOXM_01876	190	273	866	81
KOXM_01881	204	284	759	106
KOXM_01886	81	70	90	0
KOXM_01891	2538	2456	23972	2813
KOXM_01896	912	846	13627	1569
KOXM_01901	99	279	2297	156
KOXM_01906	17	21	0	15
KOXM_01911	35	124	238	74
KOXM_01916	0	0	12	0
KOXM_01921	0	16	15	0
KOXM_01926	0	7	0	0
KOXM_01931	0	7	30	35
KOXM_01936	43	34	87	25
KOXM_01941	30	0	82	0
KOXM_01946	12	9	33	8
KOXM_01951	10	14	28	15
KOXM_01956	0	0	35	7
KOXM_01963	12	12	0	15
KOXM_01968	0	17	0	0
KOXM_01973	0	0	0	0
KOXM_01978	0	0	0	0
KOXM_01983	0	2	0	0
KOXM_01988	0	19	5	14
KOXM_01993	115	109	202	13
KOXM_02013	81	155	666	100
KOXM_02018	17	93	74	156
KOXM_02023	8	70	563	149
KOXM_02028	54	72	720	206
KOXM_02033	0	0	5	28
KOXM_02048	64	60	78	11
KOXM_02053	24	62	107	14
KOXM_02058	54	58	49	18
KOXM_02063	15	38	62	1
KOXM_02068	339	471	1041	174
KOXM_02073	119	200	155	76
KOXM_02078	12	23	28	7
KOXM_02083	18	12	14	26
KOXM_02088	226	391	748	302
KOXM_02093	48	113	311	119
KOXM_02098	4889	2344	22672	2931
KOXM_02103	29	137	139	83
KOXM_02108	107	232	257	146
KOXM_02113	107	234	572	162
KOXM_02128	407	1049	672	487
KOXM_02133	530	1210	623	360
KOXM_02138	211	495	579	200
KOXM_02143	0	1	10	0
KOXM_02152	0	37	24	0
KOXM_02157	122	220	312	160
KOXM_02162	40	87	93	18
KOXM_02167	87	111	287	55
KOXM_02172	19	11	71	16
KOXM_02177	115	148	253	131
KOXM_02182	8	42	9	0
KOXM_02187	6	0	0	0
KOXM_02192	0	0	1	0
KOXM_02197	0	0	35	9
KOXM_02202	0	0	0	0
KOXM_02207	0	0	7	9
KOXM_02212	24	122	202	63
KOXM_02227	27	111	30	148
KOXM_02252	12	0	0	11
KOXM_02257	0	0	0	0
KOXM_02262	98	336	687	295
KOXM_02267	834	3573	6954	4190
KOXM_02272	0	0	13	0
KOXM_02277	0	8	3	0
KOXM_02282	8	73	24	6
KOXM_02287	869	583	384	289
KOXM_02292	65	67	143	112
KOXM_02297	1008	1313	1731	833
KOXM_02302	33	101	320	88
KOXM_02307	124	64	155	10
KOXM_02312	554	962	1968	554
KOXM_02317	149	623	947	504
KOXM_02322	900	1141	1442	684
KOXM_02337	16	0	10	0
KOXM_02342	11	0	0	0
KOXM_02347	0	0	0	0
KOXM_02352	0	0	0	0
KOXM_02357	0	0	0	0
KOXM_02362	31	0	27	16
KOXM_02367	0	0	21	0
KOXM_02372	0	27	42	0
KOXM_02377	0	14	11	4
KOXM_02382	0	12	39	24
KOXM_02397	0	0	3	19
KOXM_02402	45	57	81	6
KOXM_02407	0	30	38	60
KOXM_02412	79	127	188	83
KOXM_02417	165	122	361	31
KOXM_02422	132	67	374	61
KOXM_02427	15	10	66	0
KOXM_02432	17	16	10	24
KOXM_02437	92	129	316	243
KOXM_02442	0	45	44	7
KOXM_02447	0	8	46	6
KOXM_02452	39	41	58	40
KOXM_02457	152	187	544	77
KOXM_02462	16	22	85	48
KOXM_02467	17	40	48	9
KOXM_02472	29	31	57	14
KOXM_02477	3126	2743	4574	1388
KOXM_02482	7323	8633	19625	7272
KOXM_02487	1092	1807	3758	1283
KOXM_02502	92	184	298	157
KOXM_02507	177	241	297	166
KOXM_02512	184	81	157	71
KOXM_02517	100	109	178	94
KOXM_02522	0	0	0	0
KOXM_02527	0	0	0	0
KOXM_02532	0	57	21	6
KOXM_02537	28	56	30	57
KOXM_02542	46	108	31	56
KOXM_02547	0	39	77	0
KOXM_02552	12	62	28	12
KOXM_02557	360	568	171	160
KOXM_02562	21	40	40	29
KOXM_02567	0	0	0	0
KOXM_02572	0	24	11	0
KOXM_02577	0	0	0	0
KOXM_02582	0	0	0	9
KOXM_02587	0	13	13	6
KOXM_02597	5	296	240	155
KOXM_02602	180	240	689	165
KOXM_02607	118	101	304	73
KOXM_02612	731	701	1530	568
KOXM_02617	441	1505	704	665
KOXM_02622	199	187	262	76
KOXM_02627	0	0	23	0
KOXM_02632	171	68	338	72
KOXM_02637	94	100	458	77
KOXM_02642	355	454	1943	343
KOXM_02647	0	0	10	12
KOXM_02652	52	111	124	57
KOXM_02657	721	4448	3891	2090
KOXM_02662	342	1130	1040	1121
KOXM_02667	1135	2657	4094	1705
KOXM_02672	0	0	100	19
KOXM_02677	15	25	17	6
KOXM_02688	0	0	26	2
KOXM_02693	14	22	38	5
KOXM_02698	0	0	19	0
KOXM_02703	0	0	9	0
KOXM_02708	0	0	0	0
KOXM_02713	0	30	18	0
KOXM_02718	0	13	0	14
KOXM_02723	50	78	23	31
KOXM_02728	20	13	6	41
KOXM_02743	57	119	107	41
KOXM_02748	0	10	0	39
KOXM_02753	14	13	43	64
KOXM_02758	137	87	134	54
KOXM_02763	19	59	17	7
KOXM_02768	48	94	216	29
KOXM_02773	39	180	48	149
KOXM_02778	90	163	55	72
KOXM_02783	128	170	335	234
KOXM_02788	55	29	94	10
KOXM_02793	49	68	77	57
KOXM_02798	14	0	86	33
KOXM_02803	59	298	1340	1719
KOXM_02808	46	128	910	1214
KOXM_02813	34	220	633	297
KOXM_02818	590	446	409	187
KOXM_02823	438	393	728	499
KOXM_02828	6465	7094	10253	4424
KOXM_02833	8801	16367	15641	10258
KOXM_02848	1513	2678	2939	1709
KOXM_02853	1556	1823	3854	1013
KOXM_02863	0	12	0	0
KOXM_02868	21	40	89	12
KOXM_02873	122	109	84	92
KOXM_02878	24	58	48	50
KOXM_02883	0	45	28	27
KOXM_02888	29	33	39	14
KOXM_02893	29	82	103	61
KOXM_02898	283	493	876	332
KOXM_02903	137	315	370	99
KOXM_02918	1691	4235	6567	2659
KOXM_02923	7	26	33	0
KOXM_02928	128	209	457	242
KOXM_02933	83	9	13	23
KOXM_02938	254	226	1424	479
KOXM_02943	33	33	14	0
KOXM_02948	142	165	498	121
KOXM_02953	44	118	261	58
KOXM_02958	50	48	158	47
KOXM_02963	25	49	200	40
KOXM_02968	30	103	187	15
KOXM_02973	76	132	259	140
KOXM_02978	5	27	2	0
KOXM_02993	0	0	0	0
KOXM_02998	52	88	130	44
KOXM_03003	10	39	36	0
KOXM_03008	0	0	0	0
KOXM_03013	0	0	0	13
KOXM_03018	3	33	35	0
KOXM_03023	21	26	22	17
KOXM_03028	71	154	190	121
KOXM_03033	114	186	102	140
KOXM_03038	9	93	67	11
KOXM_03043	9	21	18	19
KOXM_03048	205	599	336	113
KOXM_03053	156	134	111	124
KOXM_03058	141	170	467	124
KOXM_03063	11	69	35	16
KOXM_03068	41	278	59	70
KOXM_03073	75	148	204	128
KOXM_03078	47	150	179	1
KOXM_03083	680	1048	1115	684
KOXM_03088	260	250	346	313
KOXM_03093	208	302	319	147
KOXM_03098	282	462	2730	588
KOXM_03113	461	699	2272	543
KOXM_03118	6	46	230	22
KOXM_03123	7	21	28	0
KOXM_03128	20	155	237	26
KOXM_03133	150	178	313	83
KOXM_03138	1062	1282	637	467
KOXM_03143	2742	736	2311	307
KOXM_03148	2029	503	1398	228
KOXM_03153	0	89	19	56
KOXM_03158	142	171	148	157
KOXM_03163	37	90	30	95
KOXM_03168	73	56	86	51
KOXM_03173	151	333	408	214
KOXM_03188	24	24	0	21
KOXM_03193	24	19	21	59
KOXM_03198	12	11	21	31
KOXM_03203	31	17	38	90
KOXM_03208	0	0	11	8
KOXM_03213	0	0	0	0
KOXM_03218	0	0	0	0
KOXM_03223	0	0	0	0
KOXM_03228	0	0	0	0
KOXM_03233	0	0	5	0
KOXM_03238	0	0	0	0
KOXM_03243	0	0	0	0
KOXM_03248	0	23	4	12
KOXM_03253	0	13	54	0
KOXM_03258	0	0	0	0
KOXM_03263	0	0	0	0
KOXM_03268	0	0	0	0
KOXM_03273	0	0	12	0
KOXM_03278	0	0	0	0
KOXM_03283	0	0	0	0
KOXM_03288	0	14	20	31
KOXM_03293	0	15	9	22
KOXM_03298	50	25	81	21
KOXM_03303	125	158	73	16
KOXM_03318	22	23	48	69
KOXM_03323	0	42	38	0
KOXM_03328	7	21	57	7
KOXM_03337	11	0	0	0
KOXM_03342	32	45	69	73
KOXM_03347	0	13	0	4
KOXM_03352	172	162	619	764
KOXM_03357	134	601	299	83
KOXM_03362	49	171	81	57
KOXM_03367	0	1	33	0
KOXM_03372	0	0	0	0
KOXM_03377	8	32	18	14
KOXM_03382	16	13	11	18
KOXM_03387	22	20	0	0
KOXM_03392	57	106	206	100
KOXM_03397	0	0	15	9
KOXM_03402	19	6	0	6
KOXM_03407	68	78	27	68
KOXM_03412	0	0	11	29
KOXM_03417	0	0	0	0
KOXM_03422	0	0	0	0
KOXM_03427	0	0	0	0
KOXM_03432	35	36	157	56
KOXM_03437	61	44	32	11
KOXM_03442	10	16	22	0
KOXM_03447	14	18	10	18
KOXM_03452	6	64	149	2
KOXM_03457	31	36	21	0
KOXM_03462	18	53	0	0
KOXM_03467	0	20	0	0
KOXM_03472	0	0	17	0
KOXM_03477	0	0	0	0
KOXM_03482	0	34	0	12
KOXM_03487	0	8	0	0
KOXM_03492	21	29	30	48
KOXM_03497	0	24	42	70
KOXM_03502	22	144	54	48
KOXM_03507	30	10	26	38
KOXM_03512	45	0	14	0
KOXM_03517	0	0	0	0
