gene_name	N13	N14	N15	N16	N17	N5	Rhizobium_1	Rhizobium_2	Rhizobium_synnifI4_1	Rhizobium_synnifI4_2
BN877_I0318_locusTag_BN877_I0318	5	0	80	81	107	11	410	569	19	378
BN877_I0322_locusTag_BN877_I0322	11	15	230	349	124	38	183	437	78	301
BN877_I0324_locusTag_BN877_I0324	0	0	0	0	0	0	0	0	0	0
BN877_I0326_locusTag_BN877_I0326	10	7	137	651	85	1	110	250	76	234
BN877_I0327_locusTag_BN877_I0327	0	9	226	411	71	27	74	118	86	213
BN877_I0332_locusTag_BN877_I0332	157	44	1088	5710	2161	196	2266	6296	1354	2355
BN877_I0335_locusTag_BN877_I0335	21	18	395	853	315	16	402	963	327	566
BN877_I0336_locusTag_BN877_I0336	35	24	500	1241	267	6	233	644	203	361
BN877_I0337_locusTag_BN877_I0337	19	9	614	1879	477	46	292	718	157	643
BN877_I0339_locusTag_BN877_I0339	0	0	154	343	142	26	107	256	48	152
BN877_I0340_locusTag_BN877_I0340	8	8	270	927	233	19	494	762	177	465
BN877_I0341_locusTag_BN877_I0341	2	29	138	352	43	20	177	300	45	386
BN877_I0343_locusTag_BN877_I0343	96	35	385	1770	407	6	322	520	79	291
BN877_I0344_locusTag_BN877_I0344	34	34	393	1435	403	99	848	2103	498	1275
BN877_I0349_locusTag_BN877_I0349	0	0	0	0	0	0	0	0	0	0
BN877_I0351_locusTag_BN877_I0351	12	5	224	781	165	47	191	1108	129	400
BN877_I0352_locusTag_BN877_I0352	104	47	2587	5647	829	184	464	1000	650	1549
BN877_I0353_locusTag_BN877_I0353	5	0	602	1457	109	50	170	336	216	590
BN877_I0354_locusTag_BN877_I0354	13	0	93	387	56	1	89	297	56	258
BN877_I0355_locusTag_BN877_I0355	0	2	104	355	106	9	80	300	72	160
BN877_I0356_locusTag_BN877_I0356	4	0	94	295	50	7	18	23	46	73
BN877_I0357_locusTag_BN877_I0357	60	51	1385	3998	727	128	856	2253	600	1888
BN877_I0358_locusTag_BN877_I0358	100	24	436	1574	612	133	1651	3435	731	1402
BN877_I0359_locusTag_BN877_I0359	13	2	66	237	98	14	134	360	107	190
BN877_I0360_locusTag_BN877_I0360	57	45	623	1465	343	99	696	3129	501	1152
BN877_I0362_locusTag_BN877_I0362	108	40	378	902	453	70	1003	2373	865	1943
BN877_I0365_locusTag_BN877_I0365	4	0	107	393	70	34	131	158	113	264
BN877_I0366_locusTag_BN877_I0366	37	46	176	960	224	92	230	534	209	755
BN877_I0370_locusTag_BN877_I0370	13	10	62	83	45	1	36	54	41	143
BN877_I0373_locusTag_BN877_I0373	19	0	134	270	120	47	31	201	42	256
BN877_I0374_locusTag_BN877_I0374	186	32	668	662	234	70	264	510	170	832
BN877_I0375_locusTag_BN877_I0375	34	10	225	482	354	51	180	416	45	428
BN877_I0376_locusTag_BN877_I0376	101	57	812	1932	1166	157	172	841	424	1338
BN877_I0377_locusTag_BN877_I0377	248	32	250	869	419	55	1019	1896	423	1048
BN877_I0378_locusTag_BN877_I0378	1530	340	537	2329	8025	175	139	672	2658	6661
BN877_I0379_locusTag_BN877_I0379	5	0	93	333	101	10	161	405	58	165
BN877_I0380_locusTag_BN877_I0380	3	3	81	551	56	2	63	190	67	176
BN877_I0382_locusTag_BN877_I0382	0	1	12	69	0	0	0	27	0	0
BN877_I0383_locusTag_BN877_I0383	20	16	46	127	199	42	165	470	167	380
BN877_I0384_locusTag_BN877_I0384	0	0	243	684	42	36	203	337	73	529
BN877_I0388_locusTag_BN877_I0388	63	9	304	359	217	120	349	808	261	584
BN877_I0389_locusTag_BN877_I0389	23	34	145	502	194	34	362	1262	132	614
BN877_I0390_locusTag_BN877_I0390	0	0	14	13	11	0	0	16	0	26
BN877_I0391_locusTag_BN877_I0391	12	9	78	437	93	30	177	259	81	148
BN877_I0392_locusTag_BN877_I0392	0	0	0	19	0	0	0	0	0	0
BN877_I0393_locusTag_BN877_I0393	0	0	5	9	0	0	0	0	0	0
BN877_I0394_locusTag_BN877_I0394	0	3	19	69	11	1	21	68	32	32
BN877_I0395_locusTag_BN877_I0395	0	0	12	75	0	1	27	38	26	10
BN877_I0396_locusTag_BN877_I0396	0	0	2	33	0	0	0	0	0	0
BN877_I0397_locusTag_BN877_I0397	0	0	0	0	0	0	0	0	0	0
BN877_I0398_locusTag_BN877_I0398	0	0	15	51	0	0	0	4	19	30
BN877_I0399_locusTag_BN877_I0399	0	0	9	46	3	0	28	29	10	9
BN877_I0400_locusTag_BN877_I0400	115	39	229	479	1072	63	776	2118	469	1066
BN877_I0401_locusTag_BN877_I0401	25	22	307	1090	309	92	506	991	184	280
BN877_I0402_locusTag_BN877_I0402	11	0	82	368	107	8	109	310	46	262
BN877_I0406_locusTag_BN877_I0406	17	0	81	290	63	22	64	131	32	128
BN877_I0407_locusTag_BN877_I0407	6	0	9	41	0	0	0	56	6	11
BN877_I0408_locusTag_BN877_I0408	0	3	43	55	28	9	52	101	11	97
BN877_I0411_locusTag_BN877_I0411	9	15	205	301	98	17	151	322	85	274
BN877_I0412_locusTag_BN877_I0412	14	0	537	872	50	41	315	964	169	634
BN877_I0413_locusTag_BN877_I0413	0	0	50	273	2	19	55	71	60	136
BN877_I0414_locusTag_BN877_I0414	0	0	0	0	0	0	0	0	0	0
BN877_I0416_locusTag_BN877_I0416	2	8	134	478	0	20	364	900	22	253
BN877_I0417_locusTag_BN877_I0417	16	0	48	125	58	11	36	276	72	157
BN877_I0418_locusTag_BN877_I0418	71	34	245	1361	596	83	504	1778	885	1137
BN877_I0419_locusTag_BN877_I0419	0	0	55	209	8	10	0	34	0	29
BN877_I0420_locusTag_BN877_I0420	27	4	52	336	3	37	89	68	18	73
BN877_I0421_locusTag_BN877_I0421	9	0	45	151	102	56	113	249	57	255
BN877_I0422_locusTag_BN877_I0422	0	0	199	449	115	17	295	820	188	484
BN877_I0423_locusTag_BN877_I0423	6	11	79	210	196	29	55	441	50	123
BN877_I0424_locusTag_BN877_I0424	15	10	87	449	45	29	139	309	120	181
BN877_I0425_locusTag_BN877_I0425	32	16	1977	2334	509	113	180	295	371	1140
BN877_I0426_locusTag_BN877_I0426	5	0	149	335	62	8	94	271	51	126
BN877_I0427_locusTag_BN877_I0427	2	6	18	150	72	7	69	117	47	157
BN877_I0431_locusTag_BN877_I0431	17	18	587	1805	956	47	1144	2122	531	1391
BN877_I0434_locusTag_BN877_I0434	0	0	5	28	10	0	0	7	0	0
BN877_I0439_locusTag_BN877_I0439	14	0	91	183	99	11	0	164	47	117
BN877_I0440_locusTag_BN877_I0440	8	26	237	1199	248	121	912	2007	266	1394
BN877_I0441_locusTag_BN877_I0441	1	0	24	99	8	54	52	253	15	46
BN877_I0442_locusTag_BN877_I0442	18	0	158	404	173	21	340	730	118	462
BN877_I0443_locusTag_BN877_I0443	4	0	13	14	16	0	11	111	35	12
BN877_I0444_locusTag_BN877_I0444	0	0	5	42	0	0	5	0	0	12
BN877_I0445_locusTag_BN877_I0445	0	0	0	0	0	0	0	0	0	0
BN877_I0446_locusTag_BN877_I0446	0	0	9	24	7	0	25	10	0	63
BN877_I0447_locusTag_BN877_I0447	57	22	276	431	405	54	746	1609	300	878
BN877_I0448_locusTag_BN877_I0448	0	0	9	28	15	11	51	56	40	97
BN877_I0449_locusTag_BN877_I0449	0	0	15	32	24	0	37	49	0	28
BN877_I0450_locusTag_BN877_I0450	0	0	5	43	14	0	20	18	0	18
BN877_I0451_locusTag_BN877_I0451	0	0	0	25	0	0	2	32	0	2
BN877_I0452_locusTag_BN877_I0452	0	0	55	84	75	19	21	163	9	93
BN877_I0454_locusTag_BN877_I0454	5	11	42	72	213	39	214	740	192	216
BN877_I0455_locusTag_BN877_I0455	2	0	24	95	30	2	42	95	25	104
BN877_I0456_locusTag_BN877_I0456	17	1	112	282	199	61	257	741	117	495
BN877_I0457_locusTag_BN877_I0457	44	0	171	229	36	28	270	288	54	228
BN877_I0458_locusTag_BN877_I0458	0	0	0	0	0	0	0	0	0	0
BN877_I0459_locusTag_BN877_I0459	22	20	63	360	49	20	322	417	93	156
BN877_I0460_locusTag_BN877_I0460	20	0	63	78	30	19	34	108	18	107
BN877_I0461_locusTag_BN877_I0461	58	3	277	687	537	85	571	1101	685	1268
BN877_I0463_locusTag_BN877_I0463	0	4	75	155	48	16	54	130	43	135
BN877_I0465_locusTag_BN877_I0465	0	0	191	578	61	3	65	338	116	186
BN877_I0466_locusTag_BN877_I0466	2	4	98	195	37	0	55	313	53	90
BN877_I0467_locusTag_BN877_I0467	0	5	40	169	9	4	43	97	12	79
BN877_I0468_locusTag_BN877_I0468	180	45	398	1344	226	191	106	79	411	736
BN877_I0469_locusTag_BN877_I0469	48	28	68	429	60	26	83	166	136	267
BN877_I0470_locusTag_BN877_I0470	14	0	12	145	14	4	0	41	0	3
BN877_I0471_locusTag_BN877_I0471	11	15	94	302	83	0	0	68	25	19
