	logFC	logCPM	PValue	FDR
msyB_locusTag_ECDH10B_1123	-1.31591540397816	4.49072223878663	0.00683515342923948	0.328637629810898
gspM_locusTag_ECDH10B_3509	6.61753307740264	-0.826516781896518	0.00684691587344187	0.328637629810898
ygjG_locusTag_ECDH10B_3248	-1.81073056937471	5.43115244409334	0.00685603491810905	0.328637629810898
yjeN_locusTag_ECDH10B_4352	7.20786647917906	-0.538058200836565	0.00700764279766406	0.330093894749599
yhjX_locusTag_ECDH10B_3726	1.84005202176704	3.78649991791477	0.00703776529383602	0.330093894749599
gabT_locusTag_ECDH10B_2829	-1.78261247364395	5.23666458918067	0.00730337099778554	0.338907492471708
puuA_locusTag_ECDH10B_1414	-1.69156457589847	8.09917371255994	0.00755195476350363	0.346753965035819
katG_locusTag_ECDH10B_4131	1.60210660990537	7.37307395064543	0.00779845918671632	0.351524305861103
caiE_locusTag_ECDH10B_0036	6.55439638893362	-0.857875116395666	0.00789321431341879	0.351524305861103
yghE_locusTag_ECDH10B_3144	6.62209584694566	-0.849343491595884	0.00789761164016233	0.351524305861103
thrW_locusTag_ECDH10B_0226	2.80503923713187	2.12637431432285	0.00801852484805568	0.353301064517362
cspD_locusTag_ECDH10B_0950	-1.70212111247547	3.79967936289751	0.00817199032838432	0.356462218124124
fliH_locusTag_ECDH10B_2082	-3.71034338247531	0.579726874544027	0.00878080296662394	0.379226361786274
ppdC_locusTag_ECDH10B_2993	-4.81304043205795	-0.526710114049768	0.00903808015286865	0.385214408891739
nepI_locusTag_ECDH10B_3845	1.09458785045231	5.96502591341236	0.00909607613843399	0.385214408891739
hybO_locusTag_ECDH10B_3174	2.97953973993553	4.49353368770647	0.0093821437992337	0.393508762040937
nikD_locusTag_ECDH10B_3653	4.40118715339038	2.35122708609284	0.00956819537264512	0.397490173480743
hycG_locusTag_ECDH10B_2887	6.56192536157936	-0.929978183315576	0.00967666232524838	0.398203783610693
nudD_locusTag_ECDH10B_2201	-4.21127171946673	1.86025103076275	0.00986070097291252	0.401984837792938
napB_locusTag_ECDH10B_2360	5.02913148374326	1.60941579752666	0.0103588699030811	0.418383245529997
yeaG_locusTag_ECDH10B_1921	-1.62839278871119	5.60456587245183	0.0105349992433763	0.421593272473463
leuV_locusTag_ECDH10B_4525	3.50457210530969	2.56899611055583	0.0106656783900336	0.422942628521151
SrpR	1.73199549684014	12.1816754654355	0.010856694023004	0.42663873268778
yccM_locusTag_ECDH10B_1064	3.89489257672262	0.84110858382556	0.0113134787910738	0.440619593630929
mdtH_locusTag_ECDH10B_1136	2.01425009057685	2.59443900289523	0.01181115568595	0.455931514178001
hofC_locusTag_ECDH10B_0086	2.16281743013586	2.11114131374372	0.012212040253296	0.459959695285051
hypE_locusTag_ECDH10B_2898	2.01379347414173	4.23703811077539	0.0122121631415028	0.459959695285051
hdeD_locusTag_ECDH10B_3687	3.92802291601759	1.54129712305505	0.012231848842977	0.459959695285051
putP_locusTag_ECDH10B_1087	-1.13211211036594	6.22243667851013	0.0123597798617431	0.460797946640371
lamB_locusTag_ECDH10B_4225	-1.82578970050378	7.73118932303324	0.0128359921903826	0.474496592664822
malM_locusTag_ECDH10B_4226	-1.91268533521542	6.02280309196472	0.0134540952325952	0.493166079030085
hemG_locusTag_ECDH10B_4039	1.2467864466245	4.43061053383455	0.0138318533885967	0.498796492113462
malE_locusTag_ECDH10B_4223	-1.80333172862639	7.53274928381301	0.0141384506677446	0.498796492113462
phnL_locusTag_ECDH10B_4287	-5.44625331212119	-0.0570566762433537	0.0142424636348996	0.498796492113462
ugd_locusTag_ECDH10B_2176	-1.77024315841511	6.12416911374275	0.0142715629423663	0.498796492113462
ynfE_locusTag_ECDH10B_1720	2.13796068487741	3.59167383129447	0.0142765011864073	0.498796492113462
napD_locusTag_ECDH10B_2364	7.12441390265276	-0.511966439196542	0.0143305682641151	0.498796492113462
astD_locusTag_ECDH10B_1884	-2.40601435072684	3.25838223169384	0.0144752310352425	0.498796492113462
yncN_locusTag_ECDH10B_1567	6.32370494478873	-1.0665018210516	0.0145437139732464	0.498796492113462
fliF_locusTag_ECDH10B_2080	6.2814219558143	-1.18556044977788	0.0146368525883822	0.498796492113462
matA_locusTag_ECDH10B_0282	6.12385911239901	-1.22124938689546	0.0149469774198078	0.505416399265128
ompC_locusTag_ECDH10B_2372	-1.36461532357503	7.62705121723981	0.0158463818890288	0.531707059999568
ycgB_locusTag_ECDH10B_1241	-1.65991657782104	5.56607125621965	0.016320383976465	0.538790034749589
ccmG_locusTag_ECDH10B_2352	3.90534187746493	1.53047035648458	0.0164120644417146	0.538790034749589
yefM_locusTag_ECDH10B_2165	-1.63231971488974	3.04011319429877	0.0164280317793891	0.538790034749589
asnU_locusTag_ECDH10B_2130	2.17598864876254	3.41410367169367	0.0166944134437588	0.540726638511431
malZ_locusTag_ECDH10B_0359	-1.16158236788339	5.02688260685049	0.0168193056786309	0.540726638511431
yncJ_locusTag_ECDH10B_1566	-1.84729586299041	4.5942039321525	0.0169621796164536	0.540726638511431
ldrB_locusTag_ECDH10B_1271	4.68413644085071	-0.822890955488833	0.0169829320211064	0.540726638511431
ymdE_locusTag_ECDH10B_1102	6.04918502042298	-1.26356052706408	0.0172711808271058	0.540787375166076
fxsA_locusTag_ECDH10B_4333	1.88127604608778	2.91426408452194	0.0175518849754677	0.540787375166076
ycgR_locusTag_ECDH10B_1247	-4.27040141642079	0.282610733093651	0.0176820689423303	0.540787375166076
ycaC_locusTag_ECDH10B_0967	-1.67223480080028	5.06171155835484	0.0177554509803399	0.540787375166076
yieF_locusTag_ECDH10B_3900	1.60460233167784	4.30059545945046	0.0177634738059865	0.540787375166076
nikB_locusTag_ECDH10B_3651	3.59903810209152	2.53932649039258	0.0177781555701182	0.540787375166076
yncG_locusTag_ECDH10B_1584	-2.31490395752776	2.5935844757972	0.017852678134781	0.540787375166076
frlA_locusTag_ECDH10B_3546	6.57467309363381	-1.07835244161704	0.0179773998476957	0.540809780245852
yddV_locusTag_ECDH10B_1621	-2.40325761038764	2.61285782710663	0.0184314705509183	0.545174994526465
yrfA_locusTag_ECDH10B_3567	6.09188748116808	-1.26530833621481	0.018506738288704	0.545174994526465
gnsA_locusTag_ECDH10B_1063	1.4099679796321	4.08575364784088	0.0187064843307576	0.545174994526465
yjhC_locusTag_ECDH10B_4475	-1.35631385888265	5.79122817623017	0.018874930560042	0.545174994526465
yhdH_locusTag_ECDH10B_3429	1.24897596695551	5.74887200454318	0.0189291307115897	0.545174994526465
