	logFC	logCPM	PValue	FDR
yagE_locusTag_ECDH10B_0255	2.18434005768695	8.52058503226254	0.00115062684652656	0.0747827648562313
glcE_locusTag_ECDH10B_3155	10.0692137859538	2.96178800391256	0.00116067728846178	0.0747827648562313
hchA_locusTag_ECDH10B_2110	9.6887836017446	2.62749960323574	0.00117029945144395	0.0747827648562313
yagL_locusTag_ECDH10B_0266	9.53058252796131	2.48524972328266	0.0011808464952151	0.0747827648562313
malK_locusTag_ECDH10B_4224	3.69090010017614	6.25666114534055	0.00119322510439308	0.0747827648562313
yicI_locusTag_ECDH10B_3838	3.42772620148719	6.81271826309519	0.0012000902200679	0.0747827648562313
phoB_locusTag_ECDH10B_0355	-3.25590443689851	6.17790519826566	0.00129641282791536	0.0796472219065747
rbsB_locusTag_ECDH10B_3939	2.66251928249319	10.0172183761493	0.00144375882332153	0.0868245375700938
yphB_locusTag_ECDH10B_2711	9.43957101161882	2.40593592823312	0.00145304705241101	0.0868245375700938
ybjK_locusTag_ECDH10B_0915	4.05005935379042	3.41539927196647	0.00147680472549191	0.0870516515215638
yddB_locusTag_ECDH10B_1626	9.68315131327755	2.62404241554629	0.00150342997918993	0.0874394875896861
osmB_locusTag_ECDH10B_1400	-4.02854942572539	5.36977534605469	0.00156638031992215	0.0899019862565842
ygaV_locusTag_ECDH10B_2834	9.43792139083328	2.40217260090149	0.00171566274009587	0.0971911801597167
ydcO_locusTag_ECDH10B_1563	4.41723900104195	2.66156048847528	0.00179163695752721	0.100193851394022
yeeF_locusTag_ECDH10B_2161	-3.06788751728828	6.09263495060826	0.00183996050756178	0.101593768784614
fdrA_locusTag_ECDH10B_0474	-5.46628446915135	3.39624772092828	0.00197038059020644	0.10690068749734
focA_locusTag_ECDH10B_0974	-3.28102935897331	5.41959142899344	0.0019850884198268	0.10690068749734
ybaZ_locusTag_ECDH10B_0410	3.67298447797583	4.06156982943618	0.00202158441685306	0.107120983389404
ibpA_locusTag_ECDH10B_3873	-2.60522892807805	7.24446616334098	0.00203829473207716	0.107120983389404
alsB_locusTag_ECDH10B_4279	3.8106506979227	3.54578183572904	0.00208768006600709	0.108410243427654
ygeH_locusTag_ECDH10B_3024	9.29629883955449	2.27800088038395	0.00225041836321189	0.115486175298003
ykiA_locusTag_ECDH10B_0349	3.72155088562398	3.36772439247609	0.00232663846692829	0.117899259984324
uidC_locusTag_ECDH10B_1748	3.96881526530279	3.8373469910341	0.00235149830780288	0.117899259984324
yncG_locusTag_ECDH10B_1584	9.49429706671368	2.45540917729154	0.00242045632327652	0.119026053310446
yhhT_locusTag_ECDH10B_3648	9.23174396448538	2.22272947430409	0.00242854625048825	0.119026053310446
puuE_locusTag_ECDH10B_1419	9.30788438593827	2.29026019805093	0.00260993760600838	0.126494975971206
yhbQ_locusTag_ECDH10B_3328	9.13875472833983	2.14452618817339	0.00285469135297164	0.134120776257028
ybiI_locusTag_ECDH10B_0871	3.64943094316338	3.19127634225896	0.0028582431694406	0.134120776257028
