chromosome	part_name	sample	reads_us	reads_ds	t_e	t_s	max_term
0x58v50	L3S2P24	flask_5	30629.845	520.44	0.0169912710952	58.8537487511	N
0x58v50	L3S2P24	flask_4	39172.395	676.66	0.0172738991323	57.8908092691	N
0x58v50	L3S2P24	flask_3	13802.425	553.94	0.0401335272606	24.9168231216	N
0x58v50	L3S2P24	flask_2	587.915	105.76	0.179889950078	5.55895423601	N
0x58v50	L3S2P24	flask_1	179.36	8.98	0.0500669045495	19.9732739421	N
0x58v50	L3S2P55	tube_8	370.99	42.5	0.114558343891	8.72917647059	N
0x58v50	L3S2P55	tube_1	562.98	67.78	0.120395040676	8.30598996754	N
0x58v50	L3S2P55	tube_3	2842.79	103.06	0.0362531175359	27.5838346594	N
0x58v50	L3S2P55	tube_2	1789.825	41.96	0.0234436327574	42.6555052431	N
0x58v50	L3S2P55	tube_5	1152.485	75.18	0.0652329531404	15.3296754456	N
0x58v50	L3S2P55	tube_4	13130.285	1270.68	0.0967747463212	10.3332743098	N
0x58v50	L3S2P55	tube_7	309.785	0.24	0.000774730861727	1290.77083333	N
0x58v50	L3S2P55	tube_6	2213.11	75.5	0.0341148880986	29.3127152318	N
0x58v50	L3S2P55	flask_8	15533.885	953.26	0.0613664900957	16.295538468	N
0x58v50	L3S2P55	flask_7	4553.835	288.32	0.0633136685892	15.7943777747	N
0x58v50	L3S2P55	flask_6	17947.47	1460.02	0.081349627552	12.2926192792	N
0x58v50	L3S2P55	flask_5	2385.36	217.08	0.0910051313009	10.9883913765	N
0x58v50	L3S2P55	flask_4	8143.885	323.96	0.0397795401089	25.1385510557	N
0x58v50	L3S2P55	flask_3	2685.105	263.84	0.0982605894369	10.1770201637	N
0x58v50	L3S2P55	flask_2	11367.31	762.62	0.0670888715096	14.9056017414	N
0x58v50	L3S2P55	flask_1	1184.49	133.2	0.112453460983	8.89256756757	N
0x58v50	L3S3P21-2	tube_8	5.115	0.0	0.19550342131	5.115	Y
0x58v50	L3S3P21-2	tube_1	0.0	0.0	0.0	-1.0	Y
0x58v50	L3S3P21-2	tube_3	23.745	0.0	0.0421141292904	23.745	Y
0x58v50	L3S3P21-2	tube_2	0.0	0.0	0.0	-1.0	Y
0x58v50	L3S3P21-2	tube_5	9.755	0.0	0.102511532547	9.755	Y
0x58v50	L3S3P21-2	tube_4	29.715	0.0	0.0336530371866	29.715	Y
0x58v50	L3S3P21-2	tube_7	3.71	0.0	0.269541778976	3.71	Y
0x58v50	L3S3P21-2	tube_6	13.315	0.0	0.0751032669921	13.315	Y
0x58v50	L3S3P21-2	flask_8	13.025	0.0	0.0767754318618	13.025	Y
0x58v50	L3S3P21-2	flask_7	21.96	0.0	0.0455373406193	21.96	Y
0x58v50	L3S3P21-2	flask_6	80.34	0.0	0.0124470998257	80.34	Y
0x58v50	L3S3P21-2	flask_5	14.17	0.0	0.0705716302047	14.17	Y
0x58v50	L3S3P21-2	flask_4	12.635	0.0	0.0791452314998	12.635	Y
0x58v50	L3S3P21-2	flask_3	17.78	0.0	0.0562429696288	17.78	Y
0x58v50	L3S3P21-2	flask_2	38.045	0.0	0.0262846628992	38.045	Y
0x58v50	L3S3P21-2	flask_1	13.34	0.0	0.0749625187406	13.34	Y
