gene_name	N18	N19	N20	N21	N3	N4
None_locusTag_PFL_4740	22	26	1	5	21	3
None_locusTag_PFL_4741	80	163	11	66	109	78
None_locusTag_PFL_4742	118	84	26	11	86	58
None_locusTag_PFL_4743	54	64	28	3	37	36
None_locusTag_PFL_4744	82	107	2	33	72	20
None_locusTag_PFL_4746	19	0	17	1	40	5
None_locusTag_PFL_4747	151	138	71	68	179	69
None_locusTag_PFL_4748	289	314	75	118	204	58
None_locusTag_PFL_4749	67	54	8	10	67	19
None_locusTag_PFL_4750	2400	1559	668	661	1027	609
None_locusTag_PFL_4752	68	53	12	1	115	29
None_locusTag_PFL_4753	9	18	4	33	39	3
None_locusTag_PFL_4754	46	37	26	7	24	0
None_locusTag_PFL_4755	71	57	1	19	16	0
None_locusTag_PFL_4766	50	100	41	32	24	22
None_locusTag_PFL_4768	127	128	32	100	125	57
None_locusTag_PFL_4769	1210	1152	419	519	793	337
None_locusTag_PFL_4770	52	24	6	17	21	6
None_locusTag_PFL_4771	17	17	6	5	9	13
None_locusTag_PFL_4772	281	111	14	61	105	49
None_locusTag_PFL_4775	366	370	94	118	333	132
None_locusTag_PFL_4777	66	51	14	5	62	44
None_locusTag_PFL_4778	3	10	0	4	2	17
None_locusTag_PFL_4779	121	90	24	20	20	5
None_locusTag_PFL_4782	64	86	21	16	93	15
None_locusTag_PFL_4783	597	390	276	155	440	158
None_locusTag_PFL_4785	7	65	12	16	17	5
None_locusTag_PFL_4789	48	23	2	1	10	28
None_locusTag_PFL_4790	28	23	13	10	51	13
None_locusTag_PFL_4791	13	37	0	7	16	9
None_locusTag_PFL_4792	31	49	18	7	44	19
None_locusTag_PFL_4793	70	21	40	19	37	12
None_locusTag_PFL_4794	21	93	10	37	45	8
None_locusTag_PFL_4795	70	129	53	53	140	19
None_locusTag_PFL_4796	110	90	91	26	138	15
None_locusTag_PFL_4798	31	15	9	14	60	0
None_locusTag_PFL_4799	11	12	10	9	36	15
None_locusTag_PFL_4800	89	37	52	54	64	27
None_locusTag_PFL_4801	18	8	2	11	14	0
None_locusTag_PFL_4805	12	14	15	16	14	7
None_locusTag_PFL_4806	26	3	1	3	4	10
None_locusTag_PFL_4807	142	72	6	49	32	11
None_locusTag_PFL_4808	92	105	49	59	14	0
None_locusTag_PFL_4809	172	328	258	116	58	6
None_locusTag_PFL_4810	0	3	0	0	23	0
None_locusTag_PFL_4812	4	22	17	0	12	7
None_locusTag_PFL_4813	14	19	19	10	20	19
None_locusTag_PFL_4814	49	85	28	1	37	0
None_locusTag_PFL_4815	41	51	28	36	46	12
None_locusTag_PFL_4816	112	45	42	38	94	13
None_locusTag_PFL_4817	2	0	0	0	2	4
None_locusTag_PFL_4818	77	64	64	97	104	8
None_locusTag_PFL_4819	115	85	18	17	99	29
None_locusTag_PFL_4820	122	120	30	39	69	20
None_locusTag_PFL_4821	148	211	52	54	136	38
None_locusTag_PFL_4822	46	38	11	12	38	6
None_locusTag_PFL_4824	13	0	0	4	15	0
None_locusTag_PFL_4827	34	39	17	12	48	92
None_locusTag_PFL_4829	31	27	7	20	50	15
None_locusTag_PFL_4830	57	29	0	4	15	10
None_locusTag_PFL_4831	47	62	14	39	67	49
None_locusTag_PFL_4832	111	81	65	52	66	2
None_locusTag_PFL_4834	166	78	40	31	56	16
None_locusTag_PFL_4837	107	72	22	9	111	38
None_locusTag_PFL_4840	161	129	51	19	146	107
None_locusTag_PFL_4841	120	54	11	29	188	6
None_locusTag_PFL_4842	5	3	11	8	7	15
None_locusTag_PFL_4843	259	167	103	44	136	43
None_locusTag_PFL_4845	42	6	6	8	54	31
None_locusTag_PFL_4849	2	6	0	0	0	0
None_locusTag_PFL_4851	0	12	0	0	29	0
None_locusTag_PFL_4852	87	40	14	49	79	13
None_locusTag_PFL_4854	304	284	211	82	276	195
None_locusTag_PFL_4857	579	1011	371	361	747	198
None_locusTag_PFL_4858	23	49	5	32	75	17
None_locusTag_PFL_4861	117	174	32	75	115	25
None_locusTag_PFL_4862	46	98	35	13	75	9
None_locusTag_PFL_4864	133	48	10	45	84	48
None_locusTag_PFL_4865	190	113	15	62	70	15
None_locusTag_PFL_4875	100	11	1	29	61	58
None_locusTag_PFL_4876	31	50	6	14	49	23
None_locusTag_PFL_4878	4	6	0	11	49	49
None_locusTag_PFL_4879	15	0	0	0	7	0
None_locusTag_PFL_4880	6	21	15	4	18	9
None_locusTag_PFL_4881	46	79	38	33	59	24
None_locusTag_PFL_4882	261	283	127	58	242	113
None_locusTag_PFL_4883	27	32	7	8	32	33
None_locusTag_PFL_4884	25	12	9	9	31	38
None_locusTag_PFL_4885	18	15	4	8	52	13
None_locusTag_PFL_4886	8	7	23	5	33	28
None_locusTag_PFL_4887	68	64	11	12	112	42
None_locusTag_PFL_4888	21	17	5	14	49	35
None_locusTag_PFL_4889	21	27	19	32	52	37
None_locusTag_PFL_4891	71	65	12	17	63	4
None_locusTag_PFL_4892	7	4	3	0	21	10
None_locusTag_PFL_4893	69	55	15	26	118	11
None_locusTag_PFL_4894	85	63	60	39	149	36
None_locusTag_PFL_4895	1188	1244	367	568	1350	432
None_locusTag_PFL_4898	35	23	1	44	21	5
None_locusTag_PFL_4899	21	13	29	17	28	0
None_locusTag_PFL_4900	5	8	6	32	16	0
None_locusTag_PFL_4901	20	4	10	3	17	3
None_locusTag_PFL_4902	6	9	0	8	1	6
None_locusTag_PFL_4903	10	9	0	0	12	16
None_locusTag_PFL_4904	8	1	0	0	0	0
None_locusTag_PFL_4905	0	0	0	0	0	0
None_locusTag_PFL_4906	65	79	1	17	28	34
None_locusTag_PFL_4907	37	51	21	1	59	25
None_locusTag_PFL_4908	11	0	0	2	0	3
None_locusTag_PFL_4909	10	37	28	9	1	0
None_locusTag_PFL_4910	46	50	4	31	40	11
None_locusTag_PFL_4911	50	10	12	0	18	0
None_locusTag_PFL_4912	55	6	0	7	8	10
None_locusTag_PFL_4913	57	27	24	42	48	17
None_locusTag_PFL_4914	24	28	15	0	4	11
None_locusTag_PFL_4917	53	13	6	34	19	10
None_locusTag_PFL_4918	61	18	34	6	61	36
None_locusTag_PFL_4919	124	121	49	51	143	25
None_locusTag_PFL_4920	16	24	0	0	9	17
None_locusTag_PFL_4921	5	13	3	6	30	3
None_locusTag_PFL_4922	190	145	90	61	147	96
None_locusTag_PFL_4924	2	6	0	4	16	0
None_locusTag_PFL_4925	24	12	0	0	13	26
None_locusTag_PFL_4930	7	0	0	0	15	0
None_locusTag_PFL_4936	125	95	49	38	227	106
None_locusTag_PFL_4937	45	39	2	2	39	23
None_locusTag_PFL_4938	1	3	6	7	17	8
None_locusTag_PFL_4941	88	117	17	11	68	8
None_locusTag_PFL_4942	80	85	53	22	52	11
None_locusTag_PFL_4943	24	2	0	13	9	17
None_locusTag_PFL_4945	20	3	14	0	56	8
None_locusTag_PFL_4947	469	408	220	148	149	32
None_locusTag_PFL_4948	392	329	101	138	187	51
None_locusTag_PFL_4952	123	50	12	19	35	29
None_locusTag_PFL_4955	167	195	172	46	176	70
None_locusTag_PFL_4970	1489	1147	529	333	550	370
None_locusTag_PFL_4976	0	0	0	0	6	0
None_locusTag_PFL_4977	99	90	21	19	111	83
None_locusTag_PFL_4978	15	24	3	32	42	31
None_locusTag_PFL_4979	87	83	29	39	65	72
None_locusTag_PFL_4980	50	118	1	59	222	69
None_locusTag_PFL_4981	41	16	15	13	94	8
None_locusTag_PFL_4982	471	360	230	175	809	324
None_locusTag_PFL_4983	2236	1951	723	990	3422	2565
None_locusTag_PFL_4984	322	142	69	98	401	105
None_locusTag_PFL_4985	49	35	4	5	76	2
None_locusTag_PFL_4987	8	13	4	0	12	6
None_locusTag_PFL_4989	13	37	2	2	0	9
None_locusTag_PFL_4990	0	19	0	0	9	0
None_locusTag_PFL_4991	6	0	4	6	0	0
None_locusTag_PFL_4992	16	16	10	3	2	3
None_locusTag_PFL_4993	23	17	0	9	27	20
None_locusTag_PFL_4994	2	2	3	4	0	0
None_locusTag_PFL_4995	14	14	10	0	4	0
None_locusTag_PFL_4996	33	25	6	29	30	3
None_locusTag_PFL_4997	22	32	7	11	13	28
None_locusTag_PFL_4998	8	4	0	1	7	0
None_locusTag_PFL_4999	97	130	32	46	20	15
None_locusTag_PFL_5000	22	18	0	24	16	16
None_locusTag_PFL_5001	62	33	28	26	36	57
None_locusTag_PFL_5002	23	28	4	0	15	4
None_locusTag_PFL_5003	55	64	1	13	52	12
None_locusTag_PFL_5004	1364	1345	373	602	814	366
None_locusTag_PFL_5005	226	220	42	51	172	84
None_locusTag_PFL_5006	7	12	14	30	6	0
None_locusTag_PFL_5007	5	21	19	1	0	14
None_locusTag_PFL_5009	64	47	16	23	20	11
None_locusTag_PFL_5010	108	90	55	9	36	19
None_locusTag_PFL_5011	122	208	161	40	71	21
None_locusTag_PFL_5012	13	8	0	0	0	0
None_locusTag_PFL_5013	0	0	0	0	0	0
None_locusTag_PFL_5014	7	14	4	0	57	1
None_locusTag_PFL_5015	22	18	12	20	41	12
None_locusTag_PFL_5016	25	6	0	4	6	0
None_locusTag_PFL_5017	4	6	6	0	10	0
None_locusTag_PFL_5018	4	29	7	6	91	8
None_locusTag_PFL_5019	36	46	4	11	55	3
None_locusTag_PFL_5020	15	15	0	3	27	14
None_locusTag_PFL_5021	28	24	13	5	44	14
None_locusTag_PFL_5022	34	20	13	14	87	56
None_locusTag_PFL_5023	99	85	20	59	92	120
None_locusTag_PFL_5024	16	11	2	10	9	10
None_locusTag_PFL_5025	57	38	17	9	36	51
None_locusTag_PFL_5026	1	0	0	7	4	0
None_locusTag_PFL_5027	6	0	0	15	7	16
None_locusTag_PFL_5029	28	10	0	25	27	8
None_locusTag_PFL_5030	163	98	18	49	131	76
None_locusTag_PFL_5032	198	212	73	136	176	29
None_locusTag_PFL_5041	16	44	8	0	18	0
None_locusTag_PFL_5042	26	12	0	0	1	17
None_locusTag_PFL_5043	13	1	0	0	0	0
None_locusTag_PFL_5044	21	1	0	0	3	0
None_locusTag_PFL_5045	27	7	8	3	9	0
None_locusTag_PFL_5046	410	277	55	64	123	58
None_locusTag_PFL_5047	19	29	10	0	13	5
None_locusTag_PFL_5048	14	24	4	4	33	12
None_locusTag_PFL_5049	134	94	23	34	95	30
None_locusTag_PFL_5050	7	0	0	0	10	3
None_locusTag_PFL_5051	81	22	8	2	43	15
None_locusTag_PFL_5052	37	24	8	5	6	0
None_locusTag_PFL_5053	126	156	46	59	55	26
None_locusTag_PFL_5054	9	0	0	12	29	14
None_locusTag_PFL_5066	446	258	192	153	248	141
None_locusTag_PFL_5072	215	124	25	64	138	103
None_locusTag_PFL_5073	32	18	0	9	11	30
None_locusTag_PFL_5075	2	8	1	0	8	3
None_locusTag_PFL_5078	1170	1059	445	399	737	193
None_locusTag_PFL_5084	325	430	105	135	207	249
None_locusTag_PFL_5085	10	13	13	0	38	24
None_locusTag_PFL_5086	167	106	64	87	168	49
None_locusTag_PFL_5088	137	71	19	31	144	48
None_locusTag_PFL_5089	34	3	8	12	4	5
None_locusTag_PFL_5090	644	785	322	256	447	154
None_locusTag_PFL_5091	523	385	181	265	583	149
None_locusTag_PFL_5093	62	97	2	34	96	49
None_locusTag_PFL_5096	74	26	13	7	66	21
None_locusTag_PFL_5098	10	37	15	29	25	29
None_locusTag_PFL_5099	25	22	15	20	61	16
None_locusTag_PFL_5100	12	20	0	17	34	10
None_locusTag_PFL_5101	1	29	53	45	45	1
None_locusTag_PFL_5102	36	35	0	34	65	43
None_locusTag_PFL_5103	10	13	0	0	30	1
None_locusTag_PFL_5104	101	69	21	13	87	60
None_locusTag_PFL_5105	365	168	85	73	328	237
None_locusTag_PFL_5109	5	0	4	0	3	0
None_locusTag_PFL_5110	7	2	2	6	5	0
None_locusTag_PFL_5111	15	7	6	8	11	14
None_locusTag_PFL_5112	79	44	16	34	61	16
None_locusTag_PFL_5113	96	146	56	37	107	53
None_locusTag_PFL_5114	515	573	297	305	407	56
None_locusTag_PFL_5115	201	325	85	205	66	34
None_locusTag_PFL_5116	578	434	314	201	94	46
None_locusTag_PFL_5118	18	13	3	9	27	22
None_locusTag_PFL_5119	9	12	18	0	5	0
None_locusTag_PFL_5120	55	13	11	24	84	5
None_locusTag_PFL_5123	4	4	7	6	16	0
None_locusTag_PFL_5124	106	86	68	59	126	36
None_locusTag_PFL_5125	26	45	32	0	27	37
None_locusTag_PFL_5127	108	95	34	20	78	28
None_locusTag_PFL_5128	115	148	46	72	74	67
None_locusTag_PFL_5129	31	35	22	12	15	11
None_locusTag_PFL_5130	0	28	2	22	6	8
None_locusTag_PFL_5131	0	0	0	10	10	0
None_locusTag_PFL_5132	155	239	109	88	170	50
None_locusTag_PFL_5133	46	37	21	44	57	25
None_locusTag_PFL_5135	36	27	5	12	20	0
None_locusTag_PFL_5136	39	53	32	6	17	15
None_locusTag_PFL_5137	6	10	5	0	13	8
None_locusTag_PFL_5138	76	129	25	32	192	46
None_locusTag_PFL_5142	844	588	139	156	967	641
None_locusTag_PFL_5143	29	26	0	0	18	14
None_locusTag_PFL_5144	6	15	0	10	13	21
None_locusTag_PFL_5145	24	38	9	30	50	6
None_locusTag_PFL_5146	0	15	5	0	13	0
None_locusTag_PFL_5148	7	0	9	6	8	0
None_locusTag_PFL_5149	0	7	7	24	0	0
None_locusTag_PFL_5150	14	19	8	1	14	10
None_locusTag_PFL_5151	21	8	12	9	20	8
None_locusTag_PFL_5152	12	25	5	8	19	17
None_locusTag_PFL_5153	4	7	0	0	2	0
None_locusTag_PFL_5154	7	33	3	8	7	2
None_locusTag_PFL_5155	143	74	36	57	59	15
None_locusTag_PFL_5157	15	24	12	0	7	2
None_locusTag_PFL_5161	67	20	22	4	19	39
None_locusTag_PFL_5164	0	3	0	0	0	0
None_locusTag_PFL_5166	12	61	6	31	15	9
None_locusTag_PFL_5169	77	35	23	31	76	57
None_locusTag_PFL_5173	54	42	10	15	104	36
None_locusTag_PFL_5174	15	30	6	7	57	28
None_locusTag_PFL_5175	47	11	32	3	60	66
None_locusTag_PFL_5176	36	34	13	0	56	48
None_locusTag_PFL_5177	94	51	9	37	53	21
None_locusTag_PFL_5178	173	222	28	31	147	71
None_locusTag_PFL_5179	0	0	0	0	10	0
None_locusTag_PFL_5181	156	126	24	30	343	254
None_locusTag_PFL_5182	1454	1558	392	434	2145	1591
None_locusTag_PFL_5185	27	20	14	22	63	26
None_locusTag_PFL_5186	396	287	63	121	268	406
None_locusTag_PFL_5187	275	130	72	53	307	508
None_locusTag_PFL_5188	0	0	0	5	12	0
None_locusTag_PFL_5189	21	9	6	0	30	0
None_locusTag_PFL_5190	8	3	5	0	2	5
None_locusTag_PFL_5191	5	0	6	0	9	0
None_locusTag_PFL_5192	15	0	8	4	9	24
None_locusTag_PFL_5193	3	24	4	3	13	8
None_locusTag_PFL_5195	30	40	26	5	30	11
None_locusTag_PFL_5196	70	52	20	29	60	12
None_locusTag_PFL_5197	9	45	16	8	12	8
None_locusTag_PFL_5198	14	40	22	5	31	14
None_locusTag_PFL_5201	8	13	3	13	1	0
None_locusTag_PFL_5202	0	7	17	0	4	7
None_locusTag_PFL_5203	9	25	24	10	28	56
None_locusTag_PFL_5204	29	39	5	14	27	0
None_locusTag_PFL_5205	86	37	23	0	43	0
None_locusTag_PFL_5206	11	31	9	2	36	2
None_locusTag_PFL_5207	18	12	0	18	12	28
None_locusTag_PFL_5208	84	28	9	0	49	15
None_locusTag_PFL_5209	29	11	7	0	21	5
None_locusTag_PFL_5210	30	4	0	2	2	2
None_locusTag_PFL_5211	0	4	0	0	0	3
None_locusTag_PFL_5212	6	7	2	12	0	1
None_locusTag_PFL_5213	147	98	93	77	132	55
None_locusTag_PFL_5214	1	0	29	4	14	9
None_locusTag_PFL_5215	25	7	40	6	0	21
None_locusTag_PFL_5216	40	6	7	0	43	0
None_locusTag_PFL_5217	2	7	13	0	10	16
None_locusTag_PFL_5223	6	51	14	0	27	6
None_locusTag_PFL_5224	9	4	0	7	13	12
None_locusTag_PFL_5225	27	0	0	4	14	0
None_locusTag_PFL_5226	45	50	17	9	53	12
None_locusTag_PFL_5228	58	56	14	24	56	30
None_locusTag_PFL_5229	51	66	21	10	75	6
None_locusTag_PFL_5230	92	59	12	19	103	51
None_locusTag_PFL_5233	11	20	7	0	22	8
None_locusTag_PFL_5234	57	19	13	21	69	25
None_locusTag_PFL_5236	206	72	50	32	61	26
None_locusTag_PFL_5238	45	54	16	7	43	13
None_locusTag_PFL_5239	41	44	10	5	28	11
None_locusTag_PFL_5240	23	8	1	14	11	1
None_locusTag_PFL_5241	63	66	12	21	97	43
None_locusTag_PFL_5242	145	241	33	107	312	81
None_locusTag_PFL_5243	28	52	0	60	59	11
None_locusTag_PFL_5244	143	161	59	59	158	49
None_locusTag_PFL_5247	0	0	0	0	0	0
None_locusTag_PFL_5248	0	0	0	0	0	0
None_locusTag_PFL_5256	31	12	22	6	31	24
None_locusTag_PFL_5257	85	57	37	26	78	6
None_locusTag_PFL_5259	64	24	16	14	74	31
None_locusTag_PFL_5260	0	1	0	2	14	4
None_locusTag_PFL_5261	4	11	4	9	19	0
None_locusTag_PFL_5262	102	41	31	26	38	62
None_locusTag_PFL_5267	3	0	12	3	11	7
None_locusTag_PFL_5269	244	205	116	61	174	45
None_locusTag_PFL_5272	14	3	0	5	0	0
None_locusTag_PFL_5279	36	0	0	10	15	14
None_locusTag_PFL_5282	5	0	0	1	10	0
None_locusTag_PFL_5283	7	15	0	0	17	6
None_locusTag_PFL_5284	19	55	11	33	40	27
None_locusTag_PFL_5285	106	40	33	23	63	31
None_locusTag_PFL_5286	698	1217	457	601	553	169
None_locusTag_PFL_5291	65	93	56	38	77	23
None_locusTag_PFL_5292	799	616	346	105	426	53
None_locusTag_PFL_5293	105	51	32	21	54	19
None_locusTag_PFL_5294	63	78	11	37	48	14
None_locusTag_PFL_5295	34	21	11	19	56	16
None_locusTag_PFL_5300	0	0	0	0	5	2
None_locusTag_PFL_5301	5	8	0	0	10	0
None_locusTag_PFL_5302	1	3	0	0	10	6
None_locusTag_PFL_5303	201	256	43	76	320	125
None_locusTag_PFL_5305	31	34	16	3	2	12
None_locusTag_PFL_5307	69	40	5	5	74	49
None_locusTag_PFL_5308	2	0	1	10	1	0
None_locusTag_PFL_5311	25	6	10	7	68	8
None_locusTag_PFL_5312	37	48	0	27	52	5
None_locusTag_PFL_5313	0	1	0	0	0	0
None_locusTag_PFL_5314	9	0	0	17	0	0
None_locusTag_PFL_5316	0	20	11	0	3	0
None_locusTag_PFL_5317	12	20	0	3	11	14
None_locusTag_PFL_5325	320	231	72	53	116	144
None_locusTag_PFL_5330	67	130	49	40	112	37
None_locusTag_PFL_5332	34	13	0	2	12	5
None_locusTag_PFL_5334	103	114	89	37	138	25
None_locusTag_PFL_5335	71	39	0	9	43	7
None_locusTag_PFL_5336	356	273	122	71	346	184
None_locusTag_PFL_5337	206	225	147	74	150	62
None_locusTag_PFL_5338	1006	993	401	287	715	299
None_locusTag_PFL_5339	6	10	3	0	10	0
None_locusTag_PFL_5340	29	8	5	8	11	0
None_locusTag_PFL_5341	0	5	0	0	0	0
None_locusTag_PFL_5342	0	10	3	5	2	1
None_locusTag_PFL_5344	539	582	149	111	235	67
None_locusTag_PFL_5347	32	22	39	22	9	9
None_locusTag_PFL_5348	22	10	6	11	6	0
None_locusTag_PFL_5349	37	39	4	24	0	0
None_locusTag_PFL_5351	73	70	25	91	144	17
None_locusTag_PFL_5353	25	0	13	0	25	2
None_locusTag_PFL_5354	0	5	0	0	1	0
None_locusTag_PFL_5355	64	18	26	14	11	1
None_locusTag_PFL_5357	15	13	11	0	0	0
None_locusTag_PFL_5362	76	44	55	16	32	1
None_locusTag_PFL_5366	37	18	2	4	42	4
None_locusTag_PFL_5367	23	15	19	10	16	11
None_locusTag_PFL_5368	14	3	7	0	56	47
None_locusTag_PFL_5370	186	361	147	162	403	157
None_locusTag_PFL_5371	31	95	56	5	64	20
None_locusTag_PFL_5372	41	33	11	24	48	52
None_locusTag_PFL_5384	106	79	113	28	103	22
None_locusTag_PFL_5385	41	10	21	24	106	4
None_locusTag_PFL_5388	53	32	19	3	76	36
None_locusTag_PFL_5389	39	20	6	0	25	3
None_locusTag_PFL_5390	13	18	10	11	15	0
None_locusTag_PFL_5391	0	4	7	0	0	0
None_locusTag_PFL_5392	0	9	22	0	10	6
None_locusTag_PFL_5393	23	74	21	25	139	18
None_locusTag_PFL_5394	0	8	0	4	1	4
None_locusTag_PFL_5398	0	12	8	10	25	7
None_locusTag_PFL_5399	53	6	20	13	22	7
None_locusTag_PFL_5400	89	46	27	13	32	11
None_locusTag_PFL_5402	315	112	68	49	173	74
None_locusTag_PFL_5403	119	49	1	17	73	65
None_locusTag_PFL_5406	14	6	16	5	39	19
None_locusTag_PFL_5408	39	39	8	50	11	30
None_locusTag_PFL_5409	28	26	0	1	25	5
None_locusTag_PFL_5410	70	53	0	42	30	41
None_locusTag_PFL_5411	14	0	0	1	0	0
None_locusTag_PFL_5412	17	38	29	14	56	27
None_locusTag_PFL_5413	51	22	4	0	34	29
None_locusTag_PFL_5414	45	44	20	12	50	12
None_locusTag_PFL_5415	1	0	0	0	17	0
None_locusTag_PFL_5416	41	13	0	3	9	7
None_locusTag_PFL_5418	37	0	0	0	0	4
None_locusTag_PFL_5420	154	79	76	31	184	119
None_locusTag_PFL_5421	11	0	0	5	14	12
None_locusTag_PFL_5422	7	3	0	0	8	0
None_locusTag_PFL_5430	20	48	0	19	36	10
None_locusTag_PFL_5431	150	176	96	62	116	114
None_locusTag_PFL_5433	17	32	2	22	35	54
None_locusTag_PFL_5437	680	490	156	186	756	250
None_locusTag_PFL_5438	909	882	545	460	712	449
None_locusTag_PFL_5440	6	32	10	0	19	23
None_locusTag_PFL_5442	14	0	9	0	5	3
None_locusTag_PFL_5443	225	98	68	57	194	81
None_locusTag_PFL_5444	276	220	144	117	177	72
None_locusTag_PFL_5447	223	398	217	135	286	79
None_locusTag_PFL_5449	93	143	70	56	105	0
None_locusTag_PFL_5454	115	112	52	36	91	45
None_locusTag_PFL_5457	24	24	19	3	8	11
None_locusTag_PFL_5458	225	241	66	67	110	21
None_locusTag_PFL_5459	350	274	100	127	103	77
None_locusTag_PFL_5460	424	522	137	140	282	65
None_locusTag_PFL_5461	121	181	131	53	129	26
None_locusTag_PFL_5462	55	33	22	5	48	57
None_locusTag_PFL_5463	132	41	9	49	94	85
None_locusTag_PFL_5464	16	11	0	0	1	12
None_locusTag_PFL_5465	8	0	3	24	0	0
None_locusTag_PFL_5466	46	74	30	7	25	7
None_locusTag_PFL_5468	561	272	226	192	300	138
None_locusTag_PFL_5469	39	47	11	20	63	52
None_locusTag_PFL_5475	53	28	25	20	86	42
None_locusTag_PFL_5476	32	31	36	12	50	19
None_locusTag_PFL_5477	55	40	10	21	40	8
None_locusTag_PFL_5479	23	0	0	0	2	7
None_locusTag_PFL_5481	199	117	48	56	159	59
None_locusTag_PFL_5483	165	188	92	23	186	58
None_locusTag_PFL_5484	570	420	192	135	378	227
None_locusTag_PFL_5485	280	177	111	89	166	101
None_locusTag_PFL_5486	18	35	9	15	59	10
None_locusTag_PFL_5487	112	105	80	66	175	22
None_locusTag_PFL_5488	112	161	40	81	393	142
None_locusTag_PFL_5489	170	157	77	103	174	93
None_locusTag_PFL_5490	147	225	171	91	176	162
None_locusTag_PFL_5492	363	225	163	93	312	159
None_locusTag_PFL_5493	793	668	227	207	620	358
None_locusTag_PFL_5494	187	137	37	69	317	92
None_locusTag_PFL_5495	141	87	58	40	166	47
None_locusTag_PFL_5496	452	365	113	226	381	249
None_locusTag_PFL_5497	40	22	8	17	57	52
None_locusTag_PFL_5498	9	0	0	0	12	0
None_locusTag_PFL_5499	13	25	6	3	29	27
None_locusTag_PFL_5500	307	336	155	86	484	234
None_locusTag_PFL_5502	2	8	11	4	14	12
None_locusTag_PFL_5503	48	19	4	2	14	13
None_locusTag_PFL_5504	39	40	40	17	46	22
None_locusTag_PFL_5505	0	7	16	0	20	7
None_locusTag_PFL_5506	21	19	5	19	28	10
None_locusTag_PFL_5507	50	13	31	6	24	27
None_locusTag_PFL_5512	23	18	2	1	9	3
None_locusTag_PFL_5513	19	6	14	4	50	20
None_locusTag_PFL_5515	59	33	8	20	54	11
None_locusTag_PFL_5524	0	6	4	17	11	0
None_locusTag_PFL_5525	63	40	31	37	54	13
None_locusTag_PFL_5526	98	54	50	24	86	51
None_locusTag_PFL_5527	81	64	8	13	63	16
None_locusTag_PFL_5528	28	12	0	5	23	8
None_locusTag_PFL_5529	79	29	0	12	11	24
None_locusTag_PFL_5530	318	214	47	30	141	13
None_locusTag_PFL_5531	282	201	41	36	89	48
None_locusTag_PFL_5533	178	92	65	60	53	30
None_locusTag_PFL_5534	178	254	114	79	401	65
None_locusTag_PFL_5536	61	69	37	23	114	80
None_locusTag_PFL_5538	118	71	34	27	86	18
None_locusTag_PFL_5539	140	80	2	7	99	40
None_locusTag_PFL_5540	169	57	19	67	76	61
None_locusTag_PFL_5541	15	19	0	13	23	17
None_locusTag_PFL_5542	5	17	8	0	20	0
None_locusTag_PFL_5543	0	2	0	0	3	0
None_locusTag_PFL_5544	32	7	7	0	45	7
None_locusTag_PFL_5545	59	34	11	5	110	49
None_locusTag_PFL_5546	46	26	7	30	42	51
None_locusTag_PFL_5547	321	114	26	92	128	143
None_locusTag_PFL_5548	17	86	23	2	37	10
None_locusTag_PFL_5549	100	83	49	33	133	56
None_locusTag_PFL_5550	206	80	60	50	72	94
None_locusTag_PFL_5551	8	13	9	2	32	11
None_locusTag_PFL_5553	439	315	209	135	379	175
None_locusTag_PFL_5596	3	8	2	1	5	0
None_locusTag_PFL_5598	3	0	0	1	8	3
None_locusTag_PFL_5599	1	2	0	0	4	0
None_locusTag_PFL_5600	88	222	34	70	129	45
None_locusTag_PFL_5604	224	53	1	45	30	54
None_locusTag_PFL_5605	11	0	0	0	0	0
None_locusTag_PFL_5608	123	92	20	27	47	36
None_locusTag_PFL_5612	31	15	15	10	102	11
None_locusTag_PFL_5613	11	38	20	0	21	18
None_locusTag_PFL_5614	32	7	0	24	34	30
None_locusTag_PFL_5615	25	4	4	17	5	10
None_locusTag_PFL_5616	9	14	0	8	8	1
None_locusTag_PFL_5618	32	62	7	0	66	18
None_locusTag_PFL_5620	20	11	5	12	49	9
None_locusTag_PFL_5628	76	68	22	18	22	24
None_locusTag_PFL_5632	961	999	600	503	413	194
None_locusTag_PFL_5633	40	32	16	17	3	1
None_locusTag_PFL_5634	39	36	21	15	33	0
None_locusTag_PFL_5635	70	87	43	27	100	17
None_locusTag_PFL_5636	7	12	0	11	5	3
None_locusTag_PFL_5637	82	71	73	3	46	13
None_locusTag_PFL_5638	116	93	68	61	91	10
None_locusTag_PFL_5639	61	60	27	38	46	26
None_locusTag_PFL_5640	56	94	11	16	79	45
None_locusTag_PFL_5641	470	368	168	117	449	193
None_locusTag_PFL_5642	244	127	29	25	253	96
None_locusTag_PFL_5643	116	67	24	40	53	121
None_locusTag_PFL_5644	142	65	26	56	53	90
None_locusTag_PFL_5645	278	204	49	89	321	244
None_locusTag_PFL_5646	440	469	202	159	461	294
None_locusTag_PFL_5654	48	11	4	20	29	9
None_locusTag_PFL_5655	85	62	23	20	65	31
None_locusTag_PFL_5664	148	72	19	20	96	67
None_locusTag_PFL_5665	0	0	0	0	0	0
None_locusTag_PFL_5666	68	0	13	15	61	38
None_locusTag_PFL_5667	25	8	0	17	35	48
None_locusTag_PFL_5669	26	5	11	0	5	18
None_locusTag_PFL_5670	11	85	31	16	55	37
None_locusTag_PFL_5671	47	45	11	6	32	2
None_locusTag_PFL_5679	7	15	0	3	0	27
None_locusTag_PFL_5680	45	72	32	18	36	21
