gene_name	N18	N19	N20	N21	N3	N4
None_locusTag_PFL_0688	108	85	49	36	91	54
None_locusTag_PFL_0689	12	1	2	0	3	0
None_locusTag_PFL_0690	12	17	9	12	24	0
None_locusTag_PFL_0691	10	9	23	11	3	17
None_locusTag_PFL_0692	29	13	12	17	8	0
None_locusTag_PFL_0693	46	16	11	45	38	0
None_locusTag_PFL_0694	64	90	44	79	31	15
None_locusTag_PFL_0695	82	44	72	80	33	26
None_locusTag_PFL_0696	124	122	48	27	62	6
None_locusTag_PFL_0697	91	86	78	38	134	15
None_locusTag_PFL_0699	2	11	0	6	15	2
None_locusTag_PFL_0700	16	9	10	0	17	13
None_locusTag_PFL_0701	282	331	271	182	264	104
None_locusTag_PFL_0702	69	81	66	18	90	70
None_locusTag_PFL_0704	59	59	17	6	23	15
None_locusTag_PFL_0705	184	207	115	67	116	61
None_locusTag_PFL_0706	61	53	23	11	14	35
None_locusTag_PFL_0707	155	135	158	88	160	159
None_locusTag_PFL_0708	2	16	8	32	33	21
None_locusTag_PFL_0710	522	1313	372	240	457	246
None_locusTag_PFL_0711	154	135	93	70	142	39
None_locusTag_PFL_0712	56	44	8	4	73	21
None_locusTag_PFL_0713	797	959	209	239	914	123
None_locusTag_PFL_0714	167	182	123	61	199	21
None_locusTag_PFL_0715	1666	1758	646	615	1505	517
None_locusTag_PFL_0716	489	585	116	125	562	123
None_locusTag_PFL_0717	4	5	0	12	6	0
None_locusTag_PFL_0718	8	16	14	10	21	29
None_locusTag_PFL_0720	325	230	222	81	514	188
None_locusTag_PFL_0721	659	542	382	106	1569	356
None_locusTag_PFL_0722	23	10	0	9	7	19
None_locusTag_PFL_0723	24	29	23	0	2	10
None_locusTag_PFL_0724	18	20	0	6	39	0
None_locusTag_PFL_0725	165	102	69	51	79	12
None_locusTag_PFL_0726	44	39	56	20	86	28
None_locusTag_PFL_0727	18	34	44	8	58	37
None_locusTag_PFL_0728	391	301	89	137	772	456
None_locusTag_PFL_0729	0	4	8	1	45	0
None_locusTag_PFL_0730	64	86	10	27	63	31
None_locusTag_PFL_0732	62	80	5	9	211	75
None_locusTag_PFL_0733	41	46	10	11	46	26
None_locusTag_PFL_0736	0	0	0	0	0	0
None_locusTag_PFL_0737	0	0	0	0	0	0
None_locusTag_PFL_0743	12	1	6	0	2	4
None_locusTag_PFL_0744	0	38	0	2	16	7
None_locusTag_PFL_0745	0	7	0	0	2	0
None_locusTag_PFL_0746	26	41	13	8	60	7
None_locusTag_PFL_0749	54	39	8	16	117	90
None_locusTag_PFL_0750	166	157	88	78	261	97
None_locusTag_PFL_0751	15	1	1	0	15	0
None_locusTag_PFL_0754	0	19	2	0	3	0
None_locusTag_PFL_0755	2	8	0	0	5	0
None_locusTag_PFL_0760	1	18	4	0	9	9
None_locusTag_PFL_0761	35	35	21	27	57	28
None_locusTag_PFL_0763	106	57	29	4	64	68
None_locusTag_PFL_0764	0	17	0	0	15	0
None_locusTag_PFL_0765	0	0	0	12	4	0
None_locusTag_PFL_0766	0	19	0	0	25	5
None_locusTag_PFL_0767	6	24	9	3	0	25
